C,E,F,L,W,Y
16,GT3,T,mother,no,1
16,GT3,T,mother,yes,4
16,GT3,T,father,no,4
16,GT3,T,mother,yes,3
17,LE3,T,mother,no,4
16,GT3,T,mother,yes,3
16,LE3,T,mother,no,4
17,LE3,T,mother,no,4
16,GT3,T,mother,no,4
17,GT3,T,father,no,3
16,GT3,T,mother,yes,3
17,GT3,T,mother,yes,2
16,GT3,T,mother,no,4
16,GT3,T,mother,yes,2
17,GT3,T,father,no,4
17,LE3,T,mother,yes,3
16,GT3,T,mother,no,2
17,GT3,T,mother,yes,3
16,GT3,T,mother,yes,3
16,LE3,T,mother,yes,2
17,GT3,A,mother,yes,3
17,GT3,T,mother,no,1
16,GT3,T,mother,no,3
17,GT3,T,mother,no,3
17,GT3,T,other,no,4
16,GT3,T,mother,no,3
16,GT3,T,father,no,3
17,LE3,T,father,yes,3
17,GT3,T,mother,no,2
16,LE3,T,father,no,3
17,GT3,T,mother,no,2
16,LE3,T,mother,no,5
16,GT3,T,mother,no,3
16,GT3,T,mother,no,4
17,GT3,T,mother,no,4
17,GT3,T,mother,no,3
16,GT3,T,mother,no,3
17,GT3,T,mother,yes,4
16,GT3,A,mother,no,3
16,GT3,T,mother,yes,3
16,GT3,T,mother,no,3
17,GT3,T,mother,yes,4
19,GT3,T,other,no,3
17,LE3,T,mother,yes,3
16,GT3,A,mother,no,3
18,GT3,T,mother,no,4
17,LE3,T,mother,no,2
17,LE3,T,mother,no,4
17,GT3,T,mother,yes,4
18,LE3,T,father,no,2
17,GT3,T,father,no,3
17,GT3,T,mother,no,3
17,GT3,T,mother,no,2
17,GT3,T,mother,yes,3
16,GT3,T,mother,no,3
18,GT3,T,mother,no,3
16,GT3,T,mother,no,3
18,GT3,T,mother,yes,3
17,GT3,T,mother,no,3
17,LE3,T,father,no,3
18,LE3,T,mother,yes,3
17,GT3,A,mother,yes,2
17,LE3,T,father,yes,2
17,GT3,T,father,no,5
17,GT3,T,mother,yes,5
16,GT3,T,father,no,2
16,LE3,T,mother,no,4
16,GT3,T,mother,yes,3
17,LE3,T,father,yes,4
16,GT3,T,mother,yes,5
16,GT3,A,mother,yes,3
18,LE3,A,mother,no,3
18,LE3,T,mother,yes,3
18,GT3,T,mother,no,1
18,GT3,T,other,yes,4
17,GT3,T,mother,no,2
17,GT3,T,father,no,4
17,LE3,T,mother,yes,3
16,GT3,T,mother,no,3
17,GT3,T,mother,no,1
17,LE3,A,other,no,5
18,GT3,T,father,no,5
17,LE3,A,mother,no,1
17,LE3,T,mother,no,3
17,LE3,A,mother,no,3
17,LE3,T,mother,yes,5
17,LE3,A,mother,no,3
16,LE3,T,mother,no,4
16,GT3,T,mother,no,3
17,GT3,T,mother,yes,3
17,GT3,T,father,yes,3
17,GT3,T,mother,yes,2
17,GT3,T,mother,yes,3
18,GT3,T,other,yes,4
16,GT3,T,mother,no,3
17,GT3,T,father,no,3
17,GT3,T,father,no,2
22,GT3,T,mother,yes,4
18,LE3,T,mother,yes,3
16,GT3,T,mother,no,3
18,GT3,T,mother,no,4
16,GT3,T,other,no,3
18,GT3,T,mother,no,2
16,GT3,T,mother,no,3
17,GT3,T,mother,no,4
17,LE3,T,mother,no,4
18,LE3,A,mother,yes,3
17,LE3,T,mother,no,2
19,GT3,T,mother,no,3
18,LE3,T,mother,no,4
17,GT3,T,mother,no,3
18,LE3,T,mother,no,4
18,GT3,T,mother,no,2
19,LE3,A,mother,no,3
18,GT3,T,mother,no,2
17,GT3,T,mother,no,2
17,LE3,T,father,yes,4
20,GT3,T,other,yes,2
18,GT3,T,father,yes,1
18,GT3,T,mother,no,3
18,GT3,T,mother,no,3
17,GT3,T,mother,no,2
18,GT3,T,mother,yes,3
17,GT3,T,father,no,4
18,LE3,A,mother,no,2
17,GT3,T,mother,yes,4
18,GT3,T,mother,no,3
18,GT3,T,father,yes,4
18,GT3,T,mother,yes,3
19,GT3,T,other,no,3
18,GT3,T,father,yes,5
18,LE3,T,mother,no,4
17,GT3,T,mother,yes,5
18,GT3,T,mother,yes,2
17,GT3,T,mother,yes,3
17,LE3,T,mother,yes,4
18,GT3,A,mother,yes,1
18,GT3,T,mother,no,2
18,GT3,T,father,yes,4
17,GT3,T,father,yes,2
19,GT3,T,father,no,3
18,LE3,T,mother,no,2
18,GT3,T,other,no,4
17,LE3,A,mother,yes,5
17,LE3,A,mother,no,4
18,LE3,T,mother,no,2
18,GT3,T,mother,no,4
17,GT3,T,mother,no,4
18,GT3,T,mother,yes,3
17,GT3,T,father,no,3
18,GT3,T,mother,no,3
17,GT3,T,mother,no,3
18,GT3,T,mother,no,2
18,LE3,A,mother,no,4
18,GT3,T,mother,yes,3
17,GT3,T,mother,no,2
17,LE3,T,mother,no,1
18,LE3,T,mother,no,4
17,GT3,T,mother,no,4
19,GT3,T,other,no,3
18,LE3,T,other,yes,4
18,GT3,T,father,no,3
18,LE3,T,mother,yes,4
18,LE3,A,mother,yes,2
17,LE3,T,father,no,1
17,GT3,T,mother,no,3
17,GT3,T,mother,no,3
17,GT3,T,father,no,2
19,LE3,T,mother,yes,3
20,GT3,A,other,no,5
19,GT3,T,father,yes,5
18,GT3,T,mother,yes,4
18,GT3,T,mother,no,3
17,GT3,T,father,yes,2
17,GT3,T,mother,no,4
18,GT3,T,mother,yes,3
18,LE3,T,mother,no,2
17,GT3,T,father,no,3
18,GT3,T,father,no,1
19,GT3,T,mother,yes,4
18,GT3,T,mother,no,4
18,GT3,T,mother,yes,4
17,GT3,T,mother,no,3
17,GT3,A,mother,yes,2
17,LE3,A,mother,no,3
17,LE3,T,father,no,2
18,LE3,T,father,no,2
19,GT3,T,other,yes,5
19,LE3,A,other,yes,3
18,GT3,T,mother,yes,3
17,GT3,T,mother,yes,2
17,LE3,T,mother,no,3
17,GT3,T,father,no,4
17,LE3,T,father,no,3
18,GT3,T,mother,no,5
18,GT3,T,mother,no,3
17,GT3,T,mother,no,3
17,GT3,T,mother,no,4
17,GT3,T,mother,no,4
17,GT3,T,mother,yes,3
17,GT3,T,mother,no,2
18,LE3,T,mother,no,5
19,GT3,T,other,yes,3
18,GT3,T,mother,yes,2
17,GT3,T,father,yes,4
18,GT3,T,mother,no,4
18,GT3,T,mother,no,3
18,LE3,T,other,yes,3
18,GT3,T,mother,no,4
17,GT3,T,mother,no,4
17,GT3,T,mother,yes,3
18,LE3,T,mother,no,3
17,GT3,A,mother,no,3
18,GT3,T,father,no,3
18,LE3,T,mother,yes,3
17,GT3,A,father,yes,3
18,GT3,T,mother,no,3
18,GT3,T,mother,yes,4
18,GT3,T,mother,yes,3
18,GT3,T,mother,yes,4
17,GT3,T,mother,yes,4
17,GT3,T,mother,yes,3
17,GT3,T,mother,no,3
19,LE3,A,other,no,2
17,GT3,T,mother,yes,1
21,LE3,T,other,no,3
18,LE3,T,mother,no,4
18,LE3,A,other,yes,3
17,GT3,T,mother,no,3
17,LE3,A,mother,no,4
18,LE3,T,mother,no,2
21,LE3,T,other,yes,3
20,GT3,T,other,yes,2
19,GT3,T,other,yes,2
17,LE3,A,mother,no,4
18,GT3,T,father,yes,3
18,GT3,T,father,no,1
19,GT3,T,mother,no,3
18,LE3,A,mother,no,1
20,GT3,T,mother,yes,3
18,GT3,T,mother,yes,1
16,GT3,T,father,yes,3
16,GT3,T,mother,no,4
15,GT3,T,mother,yes,1
15,GT3,T,mother,no,4
16,GT3,T,mother,no,5
15,LE3,T,mother,no,3
16,LE3,A,mother,no,3
16,GT3,A,mother,no,4
17,GT3,T,father,yes,5
17,GT3,T,father,no,4
15,GT3,T,mother,yes,5
16,LE3,A,mother,yes,2
15,LE3,T,father,no,4
15,LE3,T,mother,yes,4
16,GT3,T,mother,no,2
17,GT3,T,mother,no,5
15,GT3,T,father,no,1
16,GT3,T,mother,yes,4
17,GT3,T,mother,no,4
15,LE3,T,father,no,3
15,LE3,T,father,no,3
16,GT3,T,mother,no,4
15,GT3,T,mother,yes,4
15,LE3,T,father,no,3
17,GT3,T,mother,yes,5
16,GT3,T,mother,yes,2
15,GT3,T,mother,no,1
16,GT3,T,mother,no,5
16,GT3,T,father,no,3
16,GT3,T,mother,no,4
16,GT3,T,mother,no,3
16,GT3,T,mother,no,3
15,GT3,T,mother,no,4
16,GT3,T,father,yes,4
17,LE3,T,mother,no,5
16,GT3,T,father,no,3
16,GT3,T,father,no,4
15,GT3,T,father,no,3
16,GT3,T,mother,yes,2
15,GT3,T,father,no,2
15,LE3,T,father,no,4
16,GT3,T,father,no,4
18,GT3,T,father,yes,4
15,GT3,T,mother,no,2
16,GT3,T,father,no,3
15,GT3,T,mother,no,3
16,GT3,T,father,yes,3
15,GT3,T,mother,yes,5
16,GT3,T,mother,no,4
16,LE3,T,father,yes,3
16,LE3,T,mother,no,4
15,LE3,T,father,no,2
15,GT3,T,mother,no,3
16,LE3,T,mother,yes,4
15,GT3,T,father,no,3
16,GT3,T,father,no,4
17,GT3,T,mother,no,5
19,GT3,T,other,yes,4
17,GT3,T,mother,yes,5
15,LE3,T,mother,yes,2
16,GT3,T,father,no,4
16,LE3,A,mother,no,3
17,GT3,T,mother,no,3
16,GT3,T,father,no,4
18,LE3,A,other,yes,3
19,GT3,T,mother,yes,3
18,GT3,T,mother,no,4
18,GT3,T,mother,yes,2
19,GT3,T,other,yes,1
16,GT3,A,mother,yes,3
17,GT3,T,father,no,4
16,LE3,T,mother,no,4
16,GT3,T,mother,yes,5
16,LE3,T,mother,yes,4
17,GT3,T,mother,no,4
16,GT3,T,mother,no,3
16,GT3,T,mother,yes,2
17,GT3,T,father,yes,3
16,LE3,T,father,no,2
17,LE3,T,mother,no,3
16,GT3,T,other,no,2
19,LE3,T,mother,yes,4
17,GT3,T,mother,yes,4
20,GT3,T,mother,yes,3
17,LE3,T,father,yes,3
17,GT3,T,mother,no,4
16,LE3,T,father,no,3
17,GT3,T,mother,no,3
17,GT3,A,mother,yes,4
18,GT3,T,mother,yes,3
16,GT3,T,mother,no,1
16,GT3,T,mother,no,1
18,LE3,T,mother,no,3
16,GT3,T,father,yes,3
16,LE3,T,mother,no,4
18,GT3,A,father,no,3
16,GT3,T,mother,no,2
16,LE3,T,mother,no,3
16,GT3,T,mother,no,3
16,GT3,T,mother,yes,3
18,LE3,T,mother,yes,5
16,LE3,T,mother,no,2
17,LE3,T,mother,no,4
17,GT3,T,mother,yes,2
16,LE3,T,mother,no,1
17,GT3,T,mother,no,1
16,LE3,T,father,no,1
17,GT3,T,mother,no,1
17,GT3,T,mother,yes,1
16,GT3,T,mother,yes,2
16,LE3,T,mother,yes,2
16,LE3,T,father,no,1
15,GT3,T,mother,no,5
15,LE3,A,mother,no,4
15,LE3,A,mother,no,3
16,LE3,T,mother,yes,3
16,LE3,T,mother,no,2
17,GT3,T,mother,yes,3
17,GT3,T,mother,no,1
16,GT3,T,mother,yes,3
17,GT3,T,father,yes,3
17,LE3,T,father,yes,1
17,GT3,T,mother,yes,4
17,GT3,T,father,no,2
16,LE3,T,father,no,1
17,GT3,A,mother,yes,5
17,GT3,T,mother,no,3
16,LE3,A,father,yes,1
17,GT3,T,father,no,1
19,GT3,T,mother,no,4
17,LE3,A,mother,yes,1
17,GT3,T,father,yes,5
16,GT3,T,father,yes,3
16,LE3,T,mother,no,4
17,GT3,T,mother,yes,4
17,GT3,T,mother,yes,5
18,GT3,T,other,no,3
17,GT3,T,mother,yes,5
18,LE3,T,mother,no,3
16,LE3,T,father,yes,4
17,GT3,T,mother,yes,2
16,GT3,T,father,no,5
16,LE3,T,mother,no,5
18,GT3,T,other,yes,3
18,GT3,T,mother,no,3
19,GT3,T,mother,no,2
18,GT3,T,mother,no,4
16,GT3,T,mother,yes,4
19,GT3,T,other,yes,4
16,GT3,A,mother,yes,5
17,GT3,T,mother,no,3
20,GT3,T,other,yes,4
18,GT3,A,mother,no,4
18,GT3,T,mother,no,5
19,GT3,T,other,no,4
17,GT3,T,mother,no,5
18,LE3,T,mother,yes,3
19,GT3,T,other,no,4
18,GT3,A,mother,no,3
19,LE3,A,mother,no,4
18,GT3,T,mother,yes,5
17,GT3,T,mother,no,4
17,LE3,A,other,no,2
17,GT3,T,mother,no,5
18,LE3,T,mother,no,3
17,GT3,T,mother,yes,2
17,LE3,T,father,no,5
18,GT3,T,mother,yes,4
18,GT3,T,father,no,3
17,GT3,T,mother,no,4
18,LE3,A,mother,no,4
18,GT3,T,mother,no,3
18,LE3,T,mother,no,4
17,GT3,T,mother,no,3
18,GT3,T,mother,yes,3
18,LE3,T,mother,no,1
18,GT3,T,mother,yes,5
17,GT3,T,father,no,2
18,GT3,T,mother,yes,3
18,LE3,T,father,yes,4
18,LE3,A,mother,yes,3
18,GT3,T,mother,no,4
19,GT3,T,father,no,5
17,GT3,T,father,yes,2
17,LE3,A,mother,yes,3
18,LE3,A,mother,yes,2
18,GT3,T,father,no,1
19,GT3,A,other,yes,5
18,GT3,T,mother,yes,2
17,GT3,T,mother,yes,5
18,GT3,T,father,yes,3
17,GT3,T,father,no,3
17,LE3,A,mother,yes,2
18,LE3,T,father,yes,3
18,LE3,T,father,no,3
18,LE3,A,mother,yes,3
18,GT3,T,mother,yes,3
17,LE3,T,mother,yes,3
17,GT3,T,father,no,2
18,GT3,T,mother,no,3
18,LE3,T,mother,yes,2
17,GT3,T,mother,yes,2
18,GT3,T,father,yes,2
18,GT3,T,father,yes,2
18,LE3,T,father,yes,3
17,GT3,T,mother,yes,4
17,GT3,T,mother,no,5
18,LE3,T,mother,no,4
18,GT3,T,mother,no,3
19,GT3,T,other,yes,3
18,LE3,T,mother,no,4
18,GT3,T,mother,yes,1
17,GT3,T,mother,no,5
18,GT3,T,father,no,2
18,GT3,T,mother,yes,4
17,GT3,T,father,no,4
19,GT3,T,mother,no,3
18,GT3,T,father,no,4
18,GT3,T,mother,no,3
17,GT3,T,mother,no,5
18,GT3,T,mother,yes,4
19,GT3,T,mother,no,4
18,LE3,T,mother,no,3
18,GT3,T,mother,no,1
17,LE3,T,mother,no,4
18,LE3,T,mother,no,4
18,GT3,A,mother,no,3
17,GT3,T,father,no,3
15,LE3,T,mother,no,3
15,GT3,T,mother,yes,2
16,GT3,T,father,no,3
16,LE3,T,mother,no,4
16,LE3,T,mother,no,4
17,GT3,A,mother,no,1
15,LE3,A,mother,no,2
15,GT3,T,mother,no,5
15,GT3,T,mother,no,3
15,GT3,T,father,no,2
15,LE3,T,father,no,3
15,GT3,T,mother,no,4
15,GT3,A,other,yes,5
16,GT3,T,mother,no,4
16,GT3,T,mother,no,2
16,GT3,T,mother,no,3
17,GT3,T,mother,no,5
16,LE3,T,father,no,1
15,GT3,T,mother,no,4
15,GT3,T,father,no,4
16,LE3,T,mother,no,5
16,LE3,T,mother,no,4
15,GT3,T,mother,no,3
16,GT3,T,mother,no,2
15,GT3,T,mother,no,2
15,GT3,T,mother,no,2
16,LE3,A,mother,no,3
16,GT3,T,mother,yes,4
15,GT3,T,mother,no,4
15,GT3,T,mother,no,3
15,GT3,T,mother,yes,5
15,LE3,T,mother,no,3
16,GT3,T,mother,no,4
15,GT3,T,father,no,5
15,LE3,T,mother,no,4
16,GT3,A,mother,yes,4
15,GT3,T,mother,no,3
15,GT3,T,mother,no,3
16,LE3,T,mother,yes,3
15,LE3,T,other,yes,4
15,GT3,T,father,no,3
15,GT3,T,father,no,4
16,LE3,T,father,no,3
15,LE3,A,mother,yes,2
16,LE3,A,mother,no,3
16,GT3,T,mother,no,2
15,GT3,T,mother,no,3
15,GT3,T,father,no,4
16,LE3,T,mother,no,3
15,LE3,T,mother,no,3
15,LE3,A,father,no,5
15,GT3,T,mother,no,3
15,LE3,A,mother,no,3
16,GT3,A,mother,yes,3
15,GT3,A,mother,no,3
15,GT3,T,mother,no,2
15,LE3,T,father,no,3
16,GT3,T,mother,no,2
16,GT3,T,mother,no,4
16,GT3,T,father,yes,5
16,LE3,T,father,no,4
16,GT3,T,mother,no,4
15,LE3,T,father,yes,4
16,LE3,T,mother,no,4
15,GT3,A,mother,yes,3
16,GT3,T,mother,no,3
15,LE3,T,mother,no,1
15,LE3,T,father,no,4
16,GT3,T,father,no,3
15,GT3,T,mother,no,3
15,GT3,T,mother,yes,3
16,GT3,T,mother,no,3
16,GT3,T,mother,no,3
15,GT3,T,mother,no,3
15,GT3,T,mother,no,4
16,GT3,T,mother,yes,2
17,GT3,T,mother,no,5
16,GT3,T,mother,no,4
15,GT3,T,father,yes,2
15,GT3,T,mother,no,3
15,LE3,T,mother,no,4
15,LE3,T,mother,no,3
15,GT3,T,father,no,3
15,GT3,T,father,yes,4
16,LE3,T,mother,no,3
15,GT3,T,mother,no,3
16,GT3,T,father,no,4
16,LE3,A,mother,no,1
16,GT3,T,mother,yes,3
15,GT3,T,mother,no,5
16,LE3,T,father,no,3
16,GT3,T,mother,no,3
15,LE3,T,mother,no,3
15,GT3,T,mother,no,1
16,GT3,T,mother,no,3
16,GT3,T,mother,yes,3
16,GT3,T,mother,no,3
16,GT3,T,mother,no,3
16,GT3,T,mother,no,5
16,GT3,T,father,yes,4
15,GT3,T,mother,no,3
15,GT3,T,mother,no,3
15,GT3,A,mother,no,4
15,GT3,A,father,no,3
15,GT3,T,mother,no,1
16,GT3,T,father,no,3
15,GT3,T,father,yes,3
16,LE3,T,mother,yes,4
15,LE3,A,mother,no,5
16,GT3,T,father,no,1
16,GT3,T,mother,no,1
15,LE3,T,mother,no,5
15,GT3,T,mother,yes,4
16,GT3,T,father,no,4
15,GT3,T,father,no,4
16,GT3,T,father,no,4
17,GT3,T,father,no,2
15,GT3,T,father,no,4
15,GT3,T,mother,no,2
15,GT3,T,father,no,5
16,LE3,T,father,yes,2
16,GT3,T,mother,no,4
16,GT3,T,mother,yes,4
15,GT3,T,father,no,5
15,LE3,A,mother,yes,3
19,GT3,T,other,no,4
18,GT3,T,mother,no,3
16,GT3,T,mother,no,5
15,GT3,T,father,yes,2
15,GT3,T,mother,yes,3
17,LE3,T,father,yes,4
16,GT3,A,father,no,2
15,GT3,T,mother,yes,3
15,GT3,T,mother,yes,3
17,GT3,T,mother,no,4
16,GT3,A,other,yes,3
16,LE3,T,mother,yes,4
15,GT3,T,mother,no,3
15,GT3,T,father,no,2
16,LE3,T,father,no,3
15,GT3,T,mother,no,2
16,LE3,T,mother,no,4
17,GT3,T,mother,no,4
15,GT3,T,father,no,4
15,GT3,T,father,no,3
15,GT3,T,mother,no,3
16,GT3,T,mother,yes,3
15,LE3,A,mother,no,5
18,LE3,T,mother,yes,3
16,LE3,T,mother,yes,4
15,GT3,T,other,yes,2
19,GT3,T,mother,yes,5
17,GT3,T,mother,yes,2
15,GT3,T,mother,no,4
17,LE3,T,mother,no,2
18,GT3,T,mother,no,2
16,GT3,T,mother,no,2
16,GT3,T,father,yes,5
17,LE3,T,mother,yes,3
15,GT3,T,mother,yes,4
16,LE3,T,mother,no,4
17,GT3,T,father,no,3
17,LE3,T,mother,yes,3
16,GT3,T,mother,no,5
16,GT3,T,father,no,3
16,GT3,T,father,yes,2
16,GT3,T,mother,no,1
16,GT3,T,mother,yes,4
16,GT3,T,father,no,4
16,GT3,T,mother,yes,3
17,LE3,T,mother,no,4
16,GT3,T,mother,yes,3
16,LE3,T,mother,no,4
17,LE3,T,mother,no,4
16,GT3,T,mother,no,4
17,GT3,T,father,no,3
16,GT3,T,mother,yes,3
17,GT3,T,mother,yes,2
16,GT3,T,mother,no,4
16,GT3,T,mother,yes,2
17,GT3,T,father,no,4
17,LE3,T,mother,yes,3
16,GT3,T,mother,no,2
17,GT3,T,mother,yes,3
16,GT3,T,mother,yes,3
16,LE3,T,mother,yes,2
17,GT3,A,mother,yes,3
17,GT3,T,mother,no,1
16,GT3,T,mother,no,3
17,GT3,T,mother,no,3
17,GT3,T,other,no,4
16,GT3,T,mother,no,3
16,GT3,T,father,no,3
17,LE3,T,father,yes,3
17,GT3,T,mother,no,2
16,LE3,T,father,no,3
17,GT3,T,mother,no,2
16,LE3,T,mother,no,5
16,GT3,T,mother,no,3
16,GT3,T,mother,no,4
17,GT3,T,mother,no,4
17,GT3,T,mother,no,3
16,GT3,T,mother,no,3
17,GT3,T,mother,yes,4
16,GT3,A,mother,no,3
16,GT3,T,mother,yes,3
16,GT3,T,mother,no,3
17,GT3,T,mother,yes,4
19,GT3,T,other,no,3
17,LE3,T,mother,yes,3
16,GT3,A,mother,no,3
18,GT3,T,mother,no,4
17,LE3,T,mother,no,2
17,LE3,T,mother,no,4
17,GT3,T,mother,yes,4
18,LE3,T,father,no,2
17,GT3,T,father,no,3
17,GT3,T,mother,no,3
17,GT3,T,mother,no,2
17,GT3,T,mother,yes,3
16,GT3,T,mother,no,3
18,GT3,T,mother,no,3
16,GT3,T,mother,no,3
18,GT3,T,mother,yes,3
17,GT3,T,mother,no,3
17,LE3,T,father,no,3
18,LE3,T,mother,yes,3
17,GT3,A,mother,yes,2
17,LE3,T,father,yes,2
17,GT3,T,father,no,5
17,GT3,T,mother,yes,5
16,GT3,T,father,no,2
16,LE3,T,mother,no,4
16,GT3,T,mother,yes,3
17,LE3,T,father,yes,4
16,GT3,T,mother,yes,5
17,GT3,T,mother,no,1
18,GT3,T,father,no,5
17,LE3,T,mother,yes,5
17,LE3,A,mother,no,3
16,LE3,T,mother,no,4
16,GT3,T,mother,no,3
18,GT3,T,other,yes,4
16,GT3,T,mother,no,3
17,GT3,T,father,no,2
22,GT3,T,mother,yes,4
18,LE3,T,mother,yes,3
16,GT3,T,mother,no,3
18,GT3,T,mother,no,4
16,GT3,T,other,no,3
18,GT3,T,mother,no,2
16,GT3,T,mother,no,3
17,GT3,T,mother,no,4
17,LE3,T,mother,no,4
17,LE3,T,mother,no,2
19,LE3,A,mother,no,3
18,GT3,T,mother,no,2
17,LE3,T,father,yes,4
18,GT3,T,father,yes,1
18,GT3,T,mother,no,3
18,GT3,T,mother,no,3
17,GT3,T,mother,no,2
18,GT3,T,mother,yes,3
18,LE3,A,mother,no,2
17,GT3,T,mother,yes,4
18,GT3,T,mother,no,3
18,GT3,T,father,yes,4
18,GT3,T,mother,yes,3
19,GT3,T,other,no,3
18,GT3,T,father,yes,5
18,LE3,T,mother,no,4
17,GT3,T,mother,yes,5
17,GT3,T,mother,yes,3
17,LE3,T,mother,yes,4
18,GT3,A,mother,yes,1
18,GT3,T,mother,no,2
18,GT3,T,father,yes,4
