A,C,D,E,J,P,W,Y,Z
MS,17,U,GT3,other,no,no,5,4
MS,18,R,GT3,at_home,no,yes,4,3
MS,19,R,GT3,other,no,no,4,2
MS,18,U,LE3,services,no,no,3,4
MS,18,U,GT3,other,no,no,1,1
MS,17,U,LE3,services,no,no,4,5
MS,18,R,LE3,other,no,no,4,1
GP,18,U,GT3,teacher,yes,no,3,4
GP,17,U,GT3,other,no,no,3,3
GP,15,U,LE3,other,yes,no,3,2
GP,15,U,GT3,services,no,yes,2,2
GP,16,U,GT3,other,no,no,3,2
GP,16,U,LE3,other,no,no,4,2
GP,16,U,LE3,other,no,no,4,4
GP,17,U,GT3,teacher,yes,no,1,4
GP,15,U,LE3,other,no,no,2,2
GP,15,U,GT3,other,no,no,5,1
GP,15,U,GT3,health,no,no,3,3
GP,15,U,GT3,other,no,no,2,2
GP,15,U,LE3,services,no,no,3,3
GP,15,U,GT3,other,no,no,4,3
GP,15,U,GT3,other,no,yes,5,2
GP,16,U,GT3,other,no,no,4,4
GP,16,U,GT3,services,no,no,2,3
GP,16,U,GT3,other,yes,no,3,2
GP,17,U,GT3,services,no,no,5,5
GP,16,U,LE3,other,no,no,1,3
GP,15,U,GT3,other,no,no,4,1
GP,15,U,GT3,health,no,no,4,2
GP,16,U,LE3,other,no,no,5,1
GP,16,U,LE3,other,no,no,4,4
GP,15,R,GT3,health,yes,no,3,2
GP,16,U,GT3,services,no,no,2,2
GP,15,U,GT3,other,no,no,2,2
GP,15,U,GT3,services,no,no,2,4
GP,16,U,LE3,other,yes,no,3,3
GP,16,U,GT3,teacher,no,yes,4,5
GP,15,U,GT3,services,no,no,4,2
GP,15,U,GT3,services,no,no,3,1
GP,15,R,GT3,at_home,no,yes,5,2
GP,15,U,LE3,other,no,no,3,2
GP,16,U,GT3,other,no,no,4,3
GP,15,U,GT3,other,no,no,5,1
GP,15,U,LE3,services,no,no,4,3
GP,16,R,GT3,teacher,no,yes,4,3
GP,15,R,GT3,health,yes,no,3,2
GP,15,R,GT3,other,yes,no,3,1
GP,16,U,LE3,other,no,yes,3,3
GP,15,U,LE3,other,no,yes,4,3
GP,15,U,GT3,teacher,no,no,3,3
GP,15,U,GT3,services,yes,no,4,1
GP,16,U,LE3,at_home,yes,no,3,3
GP,15,U,LE3,other,yes,yes,2,2
GP,16,U,LE3,services,no,no,3,5
GP,16,U,GT3,services,no,no,2,2
GP,15,U,GT3,other,no,no,3,3
GP,15,U,GT3,teacher,yes,no,4,4
GP,16,U,LE3,services,no,no,3,3
GP,15,U,LE3,other,no,no,3,3
GP,15,U,LE3,health,no,no,5,5
GP,15,U,GT3,services,yes,no,3,4
GP,15,U,LE3,other,no,no,3,4
GP,16,U,GT3,other,no,yes,3,4
GP,15,U,GT3,services,no,no,3,2
GP,15,U,GT3,health,no,no,2,2
GP,15,U,LE3,at_home,yes,no,3,2
GP,16,U,GT3,other,no,no,2,3
GP,16,R,GT3,teacher,no,no,4,4
GP,16,U,GT3,services,yes,yes,5,5
GP,16,U,LE3,services,yes,no,4,3
GP,16,U,GT3,health,yes,no,4,4
GP,15,U,LE3,services,yes,yes,4,4
GP,16,U,LE3,services,no,no,4,3
GP,15,U,GT3,services,no,yes,3,3
GP,16,U,GT3,other,yes,no,3,3
GP,15,R,LE3,services,yes,no,1,3
GP,15,R,LE3,other,no,no,4,2
GP,16,U,GT3,other,no,no,3,2
GP,15,U,GT3,other,no,no,3,3
GP,15,R,GT3,other,yes,yes,3,4
GP,16,U,GT3,other,no,no,3,2
GP,16,U,GT3,services,yes,no,3,3
GP,15,U,GT3,other,no,no,3,3
GP,15,U,GT3,other,no,no,4,3
GP,16,U,GT3,other,no,yes,2,3
GP,17,U,GT3,other,yes,no,5,1
GP,16,U,GT3,other,no,no,4,3
GP,15,U,GT3,services,yes,yes,2,2
GP,15,U,GT3,other,yes,no,3,2
GP,15,U,LE3,other,no,no,4,4
GP,15,U,LE3,services,no,no,3,3
GP,15,U,GT3,other,no,no,3,2
GP,15,U,GT3,services,no,yes,4,4
GP,16,U,LE3,other,no,no,3,4
GP,15,U,GT3,other,no,no,3,3
GP,16,U,GT3,other,no,no,4,2
GP,16,U,LE3,health,no,no,1,3
GP,16,U,GT3,other,no,yes,3,3
GP,15,U,GT3,other,no,no,5,5
GP,16,U,LE3,other,yes,no,3,3
GP,16,U,GT3,services,no,no,3,3
GP,15,U,LE3,health,no,no,3,4
GP,15,R,GT3,other,yes,no,1,2
GP,16,R,GT3,other,yes,no,3,3
GP,16,U,GT3,other,no,yes,3,5
GP,16,U,GT3,other,no,no,3,4
GP,16,U,GT3,at_home,yes,no,3,5
GP,16,U,GT3,services,yes,no,5,5
GP,16,U,GT3,teacher,no,yes,4,3
GP,15,U,GT3,other,no,no,3,3
GP,15,U,GT3,other,yes,no,3,5
GP,15,U,GT3,other,no,no,4,4
GP,15,U,GT3,health,yes,no,3,3
GP,15,U,GT3,other,yes,no,1,2
GP,16,U,GT3,other,no,no,3,3
GP,15,R,GT3,other,no,yes,3,5
GP,16,U,LE3,health,no,yes,4,5
GP,15,U,LE3,teacher,no,no,5,3
GP,16,R,GT3,other,yes,no,1,2
GP,16,U,GT3,other,yes,no,1,2
GP,15,U,LE3,other,no,no,5,2
GP,15,R,GT3,services,no,yes,4,2
GP,16,U,GT3,teacher,no,no,4,4
GP,15,U,GT3,teacher,no,no,4,3
GP,16,U,GT3,services,no,no,4,2
GP,17,R,GT3,other,no,no,2,4
GP,15,U,GT3,other,no,no,4,3
GP,15,U,GT3,services,no,no,2,3
GP,15,U,GT3,services,no,no,5,4
GP,16,U,LE3,health,no,yes,2,2
GP,16,U,GT3,other,no,no,4,4
GP,16,U,GT3,other,no,yes,4,4
GP,15,U,GT3,services,yes,no,5,5
GP,15,U,LE3,other,yes,yes,3,2
GP,19,U,GT3,other,no,no,4,2
GP,18,R,GT3,other,no,no,3,3
GP,16,R,GT3,teacher,no,no,5,5
GP,15,R,GT3,teacher,no,yes,2,2
GP,15,U,GT3,other,no,yes,3,3
GP,17,U,LE3,other,no,yes,4,4
GP,16,U,GT3,other,no,no,2,1
GP,15,R,GT3,teacher,no,yes,3,3
GP,15,U,GT3,at_home,no,yes,3,3
GP,17,R,GT3,other,no,no,4,5
GP,16,U,GT3,other,no,yes,3,2
GP,16,U,LE3,other,no,yes,4,4
GP,15,U,GT3,teacher,no,no,3,2
GP,15,U,GT3,services,yes,no,2,2
GP,16,U,LE3,services,no,no,3,3
GP,15,U,GT3,services,no,no,2,2
GP,16,U,LE3,at_home,no,no,4,4
GP,17,U,GT3,other,no,no,4,5
GP,15,U,GT3,services,no,no,4,2
GP,15,U,GT3,services,no,no,3,2
GP,15,U,GT3,other,no,no,3,2
GP,16,U,GT3,teacher,no,yes,3,2
GP,15,U,LE3,other,no,no,5,5
GP,18,U,LE3,other,no,yes,3,5
GP,16,U,LE3,other,no,yes,4,4
GP,15,R,GT3,services,no,yes,2,1
GP,19,U,GT3,at_home,no,yes,5,4
GP,17,U,GT3,teacher,yes,yes,2,1
GP,15,R,GT3,services,yes,no,4,4
GP,17,R,LE3,other,no,no,2,2
GP,18,R,GT3,other,no,no,2,5
GP,16,R,GT3,other,no,no,2,2
GP,16,U,GT3,services,no,yes,5,5
GP,17,R,LE3,other,no,yes,3,2
GP,15,R,GT3,other,yes,yes,4,4
GP,16,U,LE3,other,no,no,4,4
GP,17,U,GT3,services,no,no,3,3
GP,17,R,LE3,services,no,yes,3,5
GP,16,U,GT3,services,no,no,5,2
GP,16,U,GT3,other,no,no,3,5
GP,16,U,GT3,services,no,yes,2,3
GP,16,U,GT3,other,no,no,1,5
GP,16,U,GT3,health,no,yes,4,2
GP,16,U,GT3,other,no,no,4,5
GP,16,U,GT3,other,no,yes,3,2
GP,17,U,LE3,other,no,no,4,4
GP,16,U,GT3,services,no,yes,3,5
GP,16,U,LE3,other,no,no,4,5
GP,17,U,LE3,other,no,no,4,4
GP,16,U,GT3,other,no,no,4,4
GP,17,U,GT3,other,no,no,3,4
GP,16,R,GT3,services,no,yes,3,3
GP,17,U,GT3,other,no,yes,2,3
GP,16,U,GT3,other,no,no,4,3
GP,16,U,GT3,other,no,yes,2,3
GP,17,U,GT3,services,no,no,4,2
GP,17,U,LE3,other,no,yes,3,3
GP,16,U,GT3,other,no,no,2,2
GP,17,U,GT3,services,no,yes,3,4
GP,16,U,GT3,services,no,yes,3,3
GP,16,U,LE3,other,no,yes,2,3
GP,17,U,GT3,other,no,yes,3,3
GP,17,R,GT3,other,no,no,1,3
GP,16,U,GT3,services,no,no,3,3
GP,17,U,GT3,services,no,no,3,3
GP,17,U,GT3,services,no,no,4,4
GP,16,R,GT3,services,no,no,3,2
GP,16,U,GT3,other,no,no,3,3
GP,17,U,LE3,services,no,yes,3,2
GP,17,U,GT3,teacher,no,no,2,3
GP,16,R,LE3,other,no,no,3,4
GP,17,U,GT3,teacher,no,no,2,4
GP,16,U,LE3,teacher,no,no,5,2
GP,16,U,GT3,other,no,no,3,5
GP,16,U,GT3,other,yes,no,4,3
GP,17,U,GT3,other,no,no,4,4
GP,17,R,GT3,other,no,no,3,2
GP,16,R,GT3,services,no,no,3,5
GP,17,U,GT3,services,no,yes,4,3
GP,16,U,GT3,other,no,no,3,3
GP,16,U,GT3,other,no,yes,3,2
GP,16,U,GT3,other,no,no,3,2
GP,17,R,GT3,other,no,yes,4,2
GP,19,U,GT3,other,no,no,3,3
GP,17,U,LE3,other,no,yes,3,5
GP,16,U,GT3,other,yes,no,3,4
GP,18,U,GT3,other,no,no,4,4
GP,17,R,LE3,other,no,no,2,1
GP,17,U,LE3,other,no,no,4,4
GP,17,U,GT3,other,no,yes,4,5
GP,18,U,LE3,health,no,no,2,4
GP,17,U,GT3,other,no,no,3,3
GP,17,U,GT3,at_home,no,no,3,3
GP,17,R,GT3,services,no,no,2,5
GP,17,U,GT3,other,no,yes,3,4
GP,16,U,GT3,teacher,yes,no,3,1
GP,18,U,GT3,other,no,no,3,3
GP,16,U,GT3,services,no,no,3,2
GP,18,R,GT3,other,no,yes,3,3
GP,17,U,GT3,other,no,no,3,4
GP,17,U,LE3,services,no,no,3,3
GP,18,U,LE3,other,yes,yes,3,2
GP,17,U,GT3,other,no,yes,2,3
GP,17,U,LE3,other,no,yes,2,3
GP,17,R,GT3,other,no,no,5,2
GP,17,U,GT3,teacher,yes,yes,5,5
GP,16,U,GT3,other,no,no,2,4
GP,16,U,LE3,other,no,no,4,2
GP,16,U,GT3,other,no,yes,3,3
GP,17,U,LE3,other,no,yes,4,2
GP,16,U,GT3,other,no,yes,5,2
GP,17,R,GT3,services,no,no,1,1
GP,18,U,GT3,services,no,no,5,4
GP,17,U,LE3,other,no,yes,5,5
GP,17,R,LE3,other,no,no,3,3
GP,16,U,LE3,other,no,no,4,5
GP,16,U,GT3,services,no,no,3,2
GP,18,U,GT3,other,no,yes,4,4
GP,16,U,GT3,other,no,no,3,3
GP,17,U,GT3,other,no,no,2,2
GP,22,U,GT3,services,no,yes,4,5
GP,18,R,LE3,services,no,yes,3,3
GP,16,U,GT3,other,no,no,3,2
GP,18,U,GT3,other,no,no,4,5
GP,16,U,GT3,other,yes,no,3,3
GP,18,U,GT3,services,no,no,2,5
GP,16,R,GT3,other,no,no,3,2
GP,17,R,GT3,other,no,no,4,2
GP,17,U,LE3,other,no,no,4,4
GP,17,U,LE3,services,no,no,2,3
GP,19,U,LE3,at_home,no,no,3,1
GP,18,U,GT3,other,no,no,2,4
GP,17,U,LE3,services,no,yes,4,1
GP,18,U,GT3,other,no,yes,1,2
GP,18,U,GT3,other,no,no,3,2
GP,18,R,GT3,other,no,no,3,2
GP,17,U,GT3,other,no,no,2,3
GP,18,U,GT3,services,no,yes,3,3
GP,18,R,LE3,other,no,no,2,5
GP,17,U,GT3,other,no,yes,4,4
GP,18,R,GT3,other,no,no,3,4
GP,18,U,GT3,other,no,yes,4,5
GP,18,R,GT3,other,no,yes,3,5
GP,19,U,GT3,services,no,no,3,5
GP,18,U,GT3,services,no,yes,5,5
GP,18,U,LE3,other,no,no,4,3
GP,17,R,GT3,at_home,no,yes,5,2
GP,17,U,GT3,health,no,yes,3,3
GP,17,U,LE3,other,yes,yes,4,4
GP,18,R,GT3,services,no,yes,1,1
GP,18,U,GT3,services,no,no,2,4
GP,18,U,GT3,health,yes,yes,4,4
GP,18,U,LE3,services,no,no,2,3
GP,17,U,LE3,other,no,yes,5,4
GP,17,U,LE3,services,no,no,4,4
GP,18,R,LE3,other,no,no,2,2
GP,18,U,GT3,other,yes,no,4,4
GP,17,U,GT3,other,no,no,4,5
GP,17,U,GT3,other,no,no,3,3
GP,18,U,GT3,at_home,no,no,3,3
GP,17,U,GT3,teacher,no,no,3,3
GP,18,U,GT3,services,no,no,2,4
GP,18,U,LE3,teacher,no,no,4,3
GP,18,U,GT3,other,no,yes,3,2
GP,17,U,GT3,services,no,no,2,2
GP,18,U,LE3,at_home,no,yes,4,3
GP,17,R,LE3,other,no,no,1,2
GP,18,R,LE3,other,no,no,4,2
GP,17,U,GT3,other,no,no,4,3
GP,19,U,GT3,other,no,no,3,4
GP,18,U,LE3,other,no,yes,4,5
GP,18,U,GT3,other,no,no,3,3
GP,18,U,LE3,teacher,no,yes,4,2
GP,18,U,LE3,other,no,yes,2,4
GP,17,U,LE3,teacher,no,no,1,1
GP,17,U,GT3,other,no,no,3,3
GP,17,U,GT3,health,no,no,2,2
GP,19,U,GT3,other,no,yes,4,4
GP,18,U,GT3,at_home,no,no,4,3
GP,20,U,GT3,other,no,no,5,3
GP,19,U,GT3,services,no,yes,3,4
GP,19,R,GT3,services,no,yes,5,3
GP,19,U,LE3,other,yes,no,4,3
GP,19,U,LE3,services,no,yes,2,4
GP,19,U,GT3,other,no,yes,4,1
GP,19,U,GT3,services,no,no,5,2
GP,19,U,LE3,other,no,yes,2,2
GP,19,U,GT3,health,no,yes,1,2
GP,19,R,GT3,other,no,yes,1,2
GP,18,U,GT3,other,no,no,3,3
GP,18,U,GT3,other,no,yes,3,4
GP,17,R,GT3,services,no,no,3,4
GP,18,U,GT3,other,no,no,4,4
GP,17,U,GT3,services,no,yes,2,2
GP,17,U,GT3,other,no,yes,2,2
GP,17,R,LE3,services,no,no,3,2
GP,17,U,GT3,services,no,no,4,3
GP,17,U,LE3,at_home,no,no,3,3
GP,18,U,GT3,other,no,no,3,3
GP,17,U,GT3,services,no,no,3,5
GP,17,R,GT3,other,no,no,4,5
GP,17,U,GT3,services,no,no,4,4
GP,17,U,GT3,teacher,no,yes,3,3
GP,18,U,LE3,other,no,no,5,5
GP,17,R,GT3,other,no,yes,4,3
GP,18,U,GT3,services,no,no,3,4
GP,18,U,LE3,other,no,yes,3,3
GP,18,R,GT3,other,no,no,4,4
GP,17,U,GT3,other,no,no,4,5
GP,19,R,GT3,at_home,no,no,4,3
GP,17,U,GT3,other,no,yes,3,2
GP,18,U,LE3,services,no,no,3,3
GP,17,R,GT3,other,no,no,3,3
GP,19,U,GT3,services,no,yes,3,4
GP,18,U,GT3,services,no,no,3,3
GP,18,U,LE3,other,no,yes,3,3
GP,17,U,GT3,at_home,no,yes,3,1
GP,18,U,GT3,other,no,no,3,3
GP,18,U,GT3,services,no,yes,4,3
GP,18,R,GT3,services,no,yes,3,2
GP,18,U,GT3,other,no,yes,4,5
GP,17,U,GT3,other,no,yes,4,3
MS,18,R,GT3,other,no,no,5,5
MS,19,R,GT3,services,no,no,4,4
MS,17,U,GT3,other,no,no,5,4
MS,18,U,LE3,services,no,yes,3,3
MS,19,R,GT3,other,no,no,4,4
MS,17,R,GT3,other,no,yes,5,5
MS,18,U,GT3,services,no,yes,3,4
MS,17,R,GT3,services,no,no,3,3
MS,17,U,LE3,other,no,yes,2,3
MS,18,U,LE3,services,no,yes,3,2
MS,18,U,LE3,services,no,no,3,2
MS,18,R,LE3,other,no,yes,3,4
MS,18,R,LE3,other,no,no,4,3
MS,18,U,GT3,services,no,yes,3,2
MS,17,U,LE3,at_home,no,yes,3,4
MS,17,R,GT3,services,no,no,2,2
MS,18,R,GT3,other,no,no,3,4
MS,18,U,LE3,services,no,yes,2,2
MS,17,R,GT3,services,no,yes,2,1
MS,18,U,GT3,services,no,yes,2,3
MS,18,R,GT3,teacher,no,yes,2,2
MS,19,U,LE3,services,no,yes,2,2
MS,18,R,LE3,services,no,yes,3,3
MS,17,U,GT3,at_home,no,yes,4,3
MS,17,R,GT3,other,no,no,5,5
MS,18,R,LE3,other,no,no,4,4
MS,18,R,GT3,other,no,no,3,2
MS,20,U,GT3,other,no,yes,4,3
MS,18,R,LE3,services,no,no,4,3
MS,18,U,GT3,other,no,yes,1,3
MS,17,R,GT3,other,no,no,5,4
MS,18,U,GT3,teacher,no,no,2,4
MS,18,R,GT3,other,no,yes,4,3
MS,17,U,GT3,services,no,no,4,3
MS,19,R,GT3,services,no,no,3,2
MS,18,R,GT3,other,no,no,4,3
MS,18,R,GT3,other,no,no,3,3
MS,18,R,GT3,at_home,no,yes,4,3
MS,19,R,GT3,other,no,no,4,2
MS,18,U,LE3,services,no,no,3,4
MS,18,U,GT3,other,no,no,1,1
MS,20,U,LE3,services,no,no,5,4
MS,17,U,LE3,services,no,no,4,5
MS,21,R,GT3,other,no,no,5,3
MS,18,R,LE3,other,no,no,4,1
MS,19,U,LE3,at_home,no,no,2,3
