B,J,N,S,X
F,other,2,yes,3
M,other,2,yes,4
M,teacher,2,yes,4
M,other,2,yes,4
M,other,2,no,3
M,other,3,yes,5
M,other,2,yes,4
F,other,1,no,4
F,other,2,yes,5
F,other,2,no,4
F,services,2,no,5
F,other,1,no,4
M,at_home,1,yes,4
M,teacher,1,yes,4
F,other,2,yes,5
F,at_home,3,yes,4
F,other,1,no,5
F,services,2,yes,2
F,other,1,no,5
M,services,2,no,5
F,other,1,no,3
F,other,3,yes,4
F,other,2,yes,4
M,other,2,yes,2
M,other,2,no,3
M,other,1,yes,5
M,services,1,yes,5
F,services,2,no,5
M,other,3,no,4
F,other,3,no,4
F,other,2,no,4
F,other,3,no,4
M,other,1,no,4
F,services,2,no,4
M,other,1,no,5
M,services,1,no,5
M,services,2,no,4
M,other,1,no,4
M,other,1,no,4
M,other,2,no,5
M,services,1,no,3
M,other,1,yes,3
M,other,1,no,4
M,other,1,yes,4
F,other,2,no,4
F,services,4,yes,4
F,services,2,no,4
M,other,2,yes,4
F,other,3,yes,4
F,at_home,3,no,4
F,other,2,no,3
M,at_home,2,no,4
M,other,2,yes,5
M,services,1,no,5
F,services,4,yes,3
F,other,2,yes,1
F,other,2,no,3
M,other,2,no,4
M,other,3,yes,5
F,other,3,yes,3
F,services,3,yes,4
M,other,1,no,4
M,other,2,yes,4
M,other,2,yes,5
F,other,2,yes,4
M,other,2,yes,5
F,other,2,no,4
F,services,2,yes,4
F,services,4,yes,4
F,other,2,no,4
M,at_home,2,yes,3
F,other,2,no,4
F,health,2,no,4
F,other,2,no,4
F,services,2,no,4
M,services,1,yes,3
F,health,2,yes,2
F,services,3,no,4
F,services,2,no,3
M,services,1,yes,4
M,other,1,no,3
M,other,1,yes,4
M,services,1,no,4
F,other,4,yes,5
F,other,2,yes,5
F,other,2,no,5
F,other,2,yes,4
M,other,2,no,4
F,at_home,3,no,4
F,teacher,3,no,4
M,services,3,yes,4
M,teacher,2,yes,5
M,other,2,yes,4
F,services,3,no,4
F,other,4,no,3
M,other,3,yes,5
M,other,1,no,4
F,other,2,yes,2
F,other,2,no,4
F,other,4,no,4
M,teacher,1,no,1
F,other,2,no,4
M,teacher,1,no,4
F,services,3,yes,5
F,other,3,no,4
F,health,4,yes,5
M,services,3,yes,4
M,other,1,yes,5
M,services,2,yes,4
F,teacher,2,no,3
F,other,2,yes,5
F,other,2,yes,4
F,teacher,1,yes,4
F,other,3,yes,4
F,services,1,no,3
F,services,3,yes,4
F,other,2,no,4
M,other,2,yes,5
F,other,2,no,4
F,other,1,yes,5
F,health,1,yes,5
F,services,2,no,5
F,other,2,no,5
F,other,2,yes,4
M,other,1,no,4
F,other,3,yes,1
F,other,2,no,5
F,other,1,yes,4
F,other,2,no,4
F,services,3,yes,3
F,services,3,no,3
F,at_home,3,no,3
F,other,3,yes,4
M,other,3,yes,4
M,services,1,yes,4
M,other,1,no,4
F,services,3,yes,5
F,teacher,3,no,4
F,other,1,yes,4
M,other,4,yes,4
M,services,1,no,5
F,other,2,yes,4
F,other,3,no,4
M,other,1,no,5
F,services,2,yes,5
F,other,2,yes,4
F,other,4,yes,4
F,other,3,no,4
F,other,2,no,4
F,services,4,no,5
F,other,2,no,4
M,services,2,yes,4
M,other,2,yes,4
F,at_home,2,no,3
F,other,3,no,4
F,services,3,no,5
M,services,3,no,5
M,other,3,no,5
F,other,3,yes,4
F,other,2,yes,4
F,other,2,yes,4
F,other,1,no,2
F,at_home,1,no,4
F,other,3,yes,3
M,services,2,yes,4
M,other,2,yes,4
F,services,2,yes,4
M,other,3,no,4
F,other,2,yes,4
M,other,2,yes,5
F,other,3,no,3
F,other,1,no,3
M,other,2,no,4
F,other,3,no,4
M,services,1,no,3
M,other,1,no,5
F,other,2,no,4
F,other,1,no,5
F,other,2,yes,3
F,other,1,no,4
F,other,2,yes,4
F,services,1,no,4
F,other,1,no,5
F,services,2,no,4
F,other,1,no,1
M,other,2,no,5
M,other,3,no,4
F,other,2,no,4
F,other,1,no,5
F,other,1,no,1
F,other,4,yes,1
F,services,2,no,5
F,services,1,no,4
F,other,1,yes,3
F,other,1,no,5
F,services,1,no,4
M,services,2,yes,5
M,other,2,no,4
M,services,2,yes,5
M,services,2,yes,5
M,health,2,no,3
M,other,2,yes,5
M,at_home,2,yes,5
M,other,1,yes,5
F,teacher,3,yes,4
F,services,1,no,5
F,services,2,no,4
M,other,2,no,4
F,other,2,no,4
F,services,3,no,1
F,services,3,no,1
F,other,2,no,4
F,other,2,no,5
M,services,1,yes,5
F,other,4,no,4
F,other,3,no,4
F,other,2,yes,4
F,other,1,yes,4
F,at_home,2,no,4
F,other,3,no,4
M,other,1,yes,3
F,other,2,yes,3
M,services,1,no,3
F,services,2,yes,5
M,other,1,no,4
M,teacher,2,yes,4
F,other,2,no,4
F,other,2,yes,4
F,other,1,yes,4
M,services,1,yes,2
M,other,1,yes,4
F,services,3,yes,5
F,other,1,no,5
M,services,1,yes,4
F,other,2,no,3
F,at_home,1,yes,4
F,services,1,no,4
F,other,1,yes,5
F,other,1,no,5
F,other,2,no,3
F,other,1,no,4
F,other,2,no,4
F,services,1,yes,4
F,other,3,no,3
F,services,3,yes,5
M,other,1,yes,4
F,at_home,1,no,3
F,other,2,no,1
F,other,2,no,3
F,at_home,1,yes,2
F,other,2,yes,4
F,other,1,yes,4
F,services,1,yes,4
M,at_home,4,yes,5
F,services,2,yes,5
F,other,1,yes,4
M,other,1,yes,5
M,other,1,yes,4
M,services,4,no,1
F,other,4,yes,2
F,other,3,no,5
F,other,1,yes,4
F,services,2,yes,3
F,services,3,no,4
M,other,1,no,4
F,other,2,no,5
F,other,2,yes,5
F,other,2,no,4
F,other,2,no,4
F,other,1,yes,3
F,at_home,1,no,3
F,at_home,2,no,2
F,teacher,2,yes,4
F,other,1,yes,5
F,services,2,no,2
M,services,2,yes,5
F,other,2,no,4
F,services,2,yes,3
F,health,2,no,4
M,health,4,yes,5
F,other,2,no,4
M,services,3,no,4
F,other,1,no,4
M,services,3,no,5
F,other,1,no,5
F,services,1,no,5
M,services,1,yes,4
M,services,2,no,5
M,services,2,no,4
F,services,2,no,3
M,health,1,no,4
M,services,2,yes,5
M,other,4,yes,5
M,services,1,yes,4
F,other,3,no,4
F,other,2,yes,1
F,other,1,no,4
F,other,2,no,5
F,services,3,no,5
M,other,1,yes,3
M,other,1,yes,5
M,other,2,yes,5
F,health,2,no,5
M,at_home,1,no,4
F,at_home,2,yes,4
F,other,2,no,4
M,services,2,no,4
M,other,2,no,4
M,other,2,yes,4
M,other,1,no,4
F,at_home,1,yes,3
F,other,3,no,4
M,at_home,1,no,4
F,other,2,yes,5
M,other,1,yes,5
M,at_home,1,no,4
M,services,1,yes,4
M,at_home,2,yes,4
F,services,2,yes,5
M,other,1,yes,1
M,other,1,no,4
M,other,1,yes,4
M,other,1,no,5
M,other,1,no,2
M,services,1,yes,3
M,at_home,2,yes,4
M,services,1,yes,5
M,other,1,yes,4
F,at_home,2,yes,2
F,at_home,1,yes,4
M,other,1,no,4
F,services,1,no,5
M,other,1,no,2
M,services,2,no,5
M,other,2,no,4
M,services,1,no,4
M,other,1,no,4
F,other,2,no,4
F,other,1,no,1
F,other,1,no,5
F,other,1,no,4
F,at_home,3,no,4
F,services,2,yes,5
F,services,2,yes,2
F,at_home,1,no,3
F,other,1,no,5
F,other,2,yes,3
F,at_home,2,yes,4
F,services,1,no,4
F,other,2,no,4
F,teacher,2,yes,4
M,other,1,yes,5
F,other,2,no,4
F,other,2,yes,4
M,services,1,no,4
M,services,1,yes,2
M,services,1,no,4
F,other,2,no,1
F,services,3,no,5
F,other,2,yes,5
F,services,2,no,4
F,services,1,no,5
F,other,4,no,4
F,other,2,yes,5
F,services,2,no,5
F,at_home,2,no,4
F,at_home,2,yes,3
F,other,3,no,4
M,other,2,yes,4
F,services,2,no,5
F,services,2,yes,4
F,other,2,no,1
M,services,1,no,3
F,services,3,no,5
F,other,2,no,4
F,services,2,no,4
F,at_home,2,yes,2
F,services,2,no,3
M,other,2,no,3
M,services,3,no,4
F,services,1,no,5
F,services,1,no,5
F,teacher,2,no,3
M,services,1,yes,4
F,at_home,3,yes,3
F,other,1,yes,3
F,other,3,no,5
F,other,3,no,4
F,other,2,no,4
F,services,2,yes,5
F,other,2,no,4
F,other,2,yes,4
M,teacher,2,yes,3
M,other,1,yes,4
M,services,2,yes,4
M,services,1,no,4
M,other,1,no,5
F,other,3,no,5
F,other,2,no,5
F,at_home,1,yes,4
F,other,3,yes,5
F,services,2,no,4
F,other,2,yes,1
M,services,1,no,2
M,other,1,no,4
F,teacher,2,no,4
F,other,2,no,5
F,other,2,no,4
F,services,3,yes,3
F,other,2,no,4
M,other,2,yes,5
M,other,2,no,4
F,teacher,2,no,4
M,other,2,no,4
M,other,2,yes,5
F,health,2,no,3
F,other,3,yes,5
M,services,1,yes,4
M,other,2,no,5
M,other,3,no,4
F,other,1,no,4
F,services,3,yes,3
F,other,2,yes,5
M,services,1,yes,5
M,other,1,yes,3
M,other,2,no,4
M,health,1,no,5
M,other,2,yes,4
M,other,2,yes,5
F,health,3,yes,4
F,services,1,no,1
M,other,1,no,4
M,services,1,no,2
M,other,2,yes,5
M,teacher,2,yes,4
M,services,2,no,5
M,services,2,yes,4
M,at_home,2,yes,4
M,other,2,yes,5
M,other,1,no,5
F,other,1,yes,3
M,services,3,yes,5
M,teacher,3,yes,2
F,health,3,yes,4
F,other,1,yes,4
F,other,2,yes,3
M,other,1,no,5
M,teacher,2,yes,4
M,services,1,no,5
F,at_home,2,yes,4
F,other,2,yes,5
F,services,2,no,2
M,services,4,yes,4
M,other,2,no,4
F,teacher,2,yes,4
F,services,2,no,4
F,other,2,no,4
M,health,1,no,5
F,services,1,no,3
F,other,1,no,5
F,other,2,yes,5
F,services,2,yes,4
M,health,2,yes,3
M,at_home,2,yes,4
F,other,2,no,4
F,teacher,2,yes,2
F,services,1,yes,5
F,services,2,yes,4
F,health,3,yes,3
F,services,2,yes,4
F,services,2,yes,5
M,services,4,yes,1
F,other,4,no,4
F,services,2,no,4
F,other,4,no,4
M,other,4,no,4
M,other,4,no,3
F,other,2,no,3
M,other,1,yes,5
F,services,2,yes,4
M,other,2,yes,4
M,other,4,yes,3
F,other,4,no,5
M,other,1,yes,4
F,other,2,no,2
M,services,1,yes,3
M,other,3,no,5
F,other,2,no,4
M,services,2,yes,5
F,other,2,yes,4
F,services,2,no,4
F,other,2,no,4
F,other,3,yes,5
M,other,2,yes,4
M,health,2,no,4
F,other,3,no,4
F,other,1,yes,4
F,other,2,no,3
F,services,2,yes,5
M,health,4,yes,4
F,other,4,yes,3
M,other,1,yes,3
F,other,2,no,4
F,other,1,yes,5
F,at_home,3,no,5
M,services,1,yes,4
M,teacher,3,yes,4
M,other,1,yes,5
F,other,2,no,4
M,other,2,yes,5
F,health,4,no,4
F,other,4,no,5
M,other,3,yes,5
M,other,4,yes,1
F,health,3,yes,5
M,teacher,1,yes,5
F,other,3,yes,4
F,other,2,yes,3
M,other,1,no,3
M,services,2,yes,5
M,teacher,2,yes,5
M,teacher,2,yes,4
M,services,1,yes,5
M,other,2,yes,5
M,other,1,no,3
F,services,2,no,3
M,services,4,yes,5
F,health,2,yes,4
M,other,1,yes,3
F,other,2,no,5
M,services,1,no,5
F,other,2,yes,5
F,other,2,no,3
M,other,1,yes,3
M,teacher,1,yes,3
F,teacher,3,no,4
F,other,1,yes,4
F,other,1,no,3
F,other,1,no,3
M,teacher,2,no,5
F,at_home,3,yes,4
M,other,2,no,5
F,other,1,yes,4
M,other,2,no,4
F,teacher,1,yes,4
M,services,4,no,2
M,services,1,yes,2
F,services,3,yes,4
F,at_home,1,no,3
M,other,1,no,5
F,services,2,no,4
F,services,2,no,3
F,other,2,no,4
M,teacher,1,no,3
M,other,1,no,4
M,other,1,no,2
M,other,1,yes,4
F,services,3,yes,4
M,at_home,1,no,4
F,teacher,1,no,4
M,services,2,yes,4
M,other,1,no,2
F,other,1,yes,5
M,other,1,no,4
M,services,2,no,4
M,other,1,yes,3
M,other,2,no,4
M,other,1,yes,4
M,services,1,no,5
M,services,2,yes,5
M,services,1,yes,4
M,other,2,no,4
F,services,2,no,4
F,other,2,no,5
F,health,2,no,4
M,other,1,yes,3
M,other,2,yes,4
M,other,2,yes,4
F,services,2,yes,4
F,other,2,yes,4
M,other,2,yes,4
F,other,2,yes,3
M,other,2,yes,4
M,services,1,yes,4
M,other,2,yes,5
M,other,2,yes,3
M,other,2,yes,4
F,services,2,yes,5
F,other,2,yes,5
F,other,2,no,1
M,services,2,yes,4
M,services,1,yes,3
M,other,2,yes,4
F,other,2,no,3
M,other,2,no,3
F,services,2,no,4
F,services,2,yes,5
M,services,2,yes,4
M,services,1,yes,4
M,other,1,no,5
F,services,2,yes,4
M,teacher,1,no,5
M,other,1,yes,3
F,teacher,1,no,4
F,teacher,2,no,4
F,other,2,yes,4
F,other,2,yes,4
F,other,2,no,4
F,other,1,no,5
F,services,4,yes,5
F,services,3,no,4
F,other,2,no,2
F,other,2,yes,1
F,other,1,no,4
F,other,3,yes,4
F,other,4,yes,4
M,other,2,no,5
F,other,2,no,3
M,other,2,yes,4
F,other,1,no,5
F,other,2,no,4
F,other,2,no,3
M,health,2,no,3
F,other,1,no,3
F,at_home,3,yes,4
F,services,2,yes,4
F,other,3,yes,4
F,teacher,2,no,2
M,other,2,no,3
F,services,3,yes,5
F,other,2,yes,5
F,other,2,yes,5
M,services,2,no,5
M,other,2,yes,4
F,other,3,yes,3
F,other,2,yes,3
M,other,2,yes,4
M,teacher,2,yes,4
M,other,2,yes,4
M,other,2,no,3
M,other,3,yes,5
M,other,2,yes,4
F,other,1,no,4
F,services,2,yes,2
M,services,2,no,5
M,other,2,yes,2
M,other,2,no,3
M,other,1,yes,5
M,services,1,yes,5
F,other,3,no,4
M,other,1,no,4
M,other,1,no,5
M,services,1,no,5
M,services,2,no,4
M,other,1,no,4
M,other,1,no,4
M,other,2,no,5
M,services,1,no,3
M,other,1,yes,3
M,other,1,no,4
M,other,1,yes,4
F,services,4,yes,4
M,at_home,2,no,4
M,other,2,yes,5
F,services,4,yes,3
F,other,2,no,3
M,other,2,no,4
M,other,3,yes,5
F,other,3,yes,3
F,services,3,yes,4
M,other,2,yes,4
M,other,2,yes,5
F,other,2,yes,4
M,other,2,yes,5
F,other,2,no,4
F,services,2,yes,4
F,services,4,yes,4
F,other,2,no,4
M,at_home,2,yes,3
F,health,2,no,4
F,other,2,no,4
F,services,2,no,4
M,services,1,yes,3
F,health,2,yes,2
M,services,1,yes,4
M,other,1,yes,4
M,services,1,no,4
F,other,4,yes,5
F,other,2,yes,5
F,other,2,no,5
M,other,2,no,4
F,at_home,3,no,4
F,teacher,3,no,4
M,services,3,yes,4
M,teacher,2,yes,5
M,other,2,yes,4
F,services,3,no,4
F,at_home,2,no,5
F,other,4,no,3
M,other,3,yes,5
M,other,1,no,4
F,other,2,yes,2
F,other,2,no,4
F,other,4,no,4
M,teacher,1,no,1
F,other,2,no,4
M,teacher,1,no,4
F,other,3,no,4
F,health,4,yes,5
M,other,2,yes,4
F,at_home,2,yes,4
M,other,1,yes,5
M,services,1,no,4
M,services,2,yes,4
F,other,2,yes,4
F,services,2,yes,4
F,other,2,no,3
M,services,2,no,4
F,other,2,no,4
F,health,3,no,4
F,other,3,no,4
F,other,2,yes,5
F,other,3,yes,4
F,services,3,yes,4
F,other,2,no,4
F,services,2,no,5
F,other,2,no,4
F,services,3,yes,3
F,services,3,no,3
F,at_home,3,no,3
M,other,3,yes,4
M,services,1,yes,4
M,other,1,no,4
F,services,3,yes,5
F,teacher,3,no,4
M,other,4,yes,4
F,other,3,no,4
F,services,2,yes,5
F,other,2,yes,4
F,other,4,yes,4
F,other,3,no,4
F,at_home,3,no,5
F,other,2,no,4
F,services,4,no,5
F,other,2,no,4
F,services,3,yes,4
M,services,2,yes,4
M,other,2,yes,4
F,at_home,2,no,3
F,other,3,no,4
F,services,3,no,5
M,services,3,no,5
M,other,3,no,5
F,other,3,yes,4
M,other,1,no,2
M,services,2,no,5
M,other,2,no,4
M,services,1,no,4
M,other,1,no,4
M,other,2,yes,4
F,services,2,no,5
F,services,2,yes,4
F,other,2,no,1
M,services,1,no,3
F,services,3,no,5
F,other,2,no,4
M,other,2,yes,4
F,services,2,no,4
F,at_home,2,yes,2
F,services,2,no,3
M,other,2,no,3
M,services,3,no,4
F,services,1,no,5
F,services,1,no,5
F,teacher,2,no,3
F,services,2,yes,3
M,services,1,yes,4
F,at_home,3,yes,3
F,other,1,yes,3
F,other,3,no,5
F,other,3,no,4
F,other,3,no,5
F,services,2,yes,5
F,other,2,no,4
F,other,2,yes,4
M,teacher,2,yes,3
M,other,1,yes,4
M,services,2,yes,4
M,services,1,no,4
M,other,1,no,5
F,other,3,no,5
F,at_home,1,yes,4
F,other,3,yes,5
F,services,2,no,4
F,other,2,yes,1
M,services,2,no,5
M,services,1,no,2
M,other,1,no,5
M,other,1,no,4
M,at_home,1,no,3
