middel_1,meldug_2,mikro_3
0_50_l_ha,0_00___0_01__,T_rt_og_varmt
0_l_ha,50___100__,V_dt_og_varmt
0_l_ha,10___25__,V_dt_og_varmt
0_25_l_ha,2___6__,T_rt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_koldt
0_l_ha,0_00___0_01__,V_dt_og_varmt
0_50_l_ha,0_5___1__,T_rt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_koldt
0_l_ha,1___2__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_koldt
0_25_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,T_rt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_koldt
0_25_l_ha,6___10__,T_rt_og_varmt
0_l_ha,2___6__,V_dt_og_koldt
0_50_l_ha,0_5___1__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,T_rt_og_varmt
0_l_ha,0_01___0_5__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,V_dt_og_varmt
0_l_ha,6___10__,T_rt_og_varmt
0_l_ha,6___10__,V_dt_og_koldt
0_50_l_ha,0_00___0_01__,V_dt_og_koldt
0_75_l_ha,0_01___0_5__,T_rt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_l_ha,10___25__,V_dt_og_koldt
0_75_l_ha,0_00___0_01__,T_rt_og_varmt
0_l_ha,0_01___0_5__,T_rt_og_varmt
0_l_ha,0_00___0_01__,T_rt_og_varmt
0_l_ha,0_5___1__,T_rt_og_varmt
0_25_l_ha,1___2__,T_rt_og_koldt
0_25_l_ha,0_00___0_01__,V_dt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_koldt
0_l_ha,1___2__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,V_dt_og_varmt
0_l_ha,0_00___0_01__,V_dt_og_koldt
0_75_l_ha,0_00___0_01__,V_dt_og_koldt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,T_rt_og_koldt
0_l_ha,50___100__,T_rt_og_varmt
0_75_l_ha,0_5___1__,T_rt_og_varmt
0_l_ha,0_00___0_01__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_75_l_ha,0_01___0_5__,T_rt_og_koldt
0_l_ha,0_5___1__,V_dt_og_koldt
0_25_l_ha,0_01___0_5__,V_dt_og_varmt
0_l_ha,2___6__,V_dt_og_varmt
0_75_l_ha,0_5___1__,T_rt_og_koldt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,T_rt_og_varmt
0_l_ha,50___100__,V_dt_og_varmt
0_50_l_ha,0_00___0_01__,T_rt_og_varmt
0_l_ha,2___6__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,T_rt_og_koldt
0_l_ha,10___25__,T_rt_og_varmt
0_50_l_ha,1___2__,T_rt_og_varmt
0_25_l_ha,6___10__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,V_dt_og_koldt
0_25_l_ha,2___6__,T_rt_og_varmt
0_l_ha,2___6__,T_rt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_koldt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_l_ha,0_00___0_01__,V_dt_og_koldt
0_75_l_ha,0_00___0_01__,T_rt_og_varmt
0_50_l_ha,0_00___0_01__,T_rt_og_varmt
0_75_l_ha,0_00___0_01__,T_rt_og_koldt
0_50_l_ha,0_00___0_01__,T_rt_og_koldt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,V_dt_og_koldt
0_l_ha,2___6__,T_rt_og_varmt
0_25_l_ha,1___2__,V_dt_og_varmt
0_l_ha,10___25__,V_dt_og_varmt
0_25_l_ha,0_5___1__,V_dt_og_koldt
0_l_ha,6___10__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_koldt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,6___10__,T_rt_og_koldt
0_25_l_ha,0_00___0_01__,V_dt_og_koldt
0_25_l_ha,25___50__,V_dt_og_koldt
0_75_l_ha,0_01___0_5__,V_dt_og_koldt
0_75_l_ha,1___2__,T_rt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_koldt
0_75_l_ha,0_00___0_01__,T_rt_og_varmt
0_l_ha,0_5___1__,T_rt_og_koldt
0_25_l_ha,0_00___0_01__,T_rt_og_varmt
0_25_l_ha,6___10__,T_rt_og_koldt
0_75_l_ha,0_5___1__,T_rt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_koldt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_l_ha,1___2__,V_dt_og_varmt
0_l_ha,0_00___0_01__,V_dt_og_varmt
0_75_l_ha,6___10__,V_dt_og_koldt
0_50_l_ha,2___6__,T_rt_og_koldt
0_50_l_ha,0_5___1__,V_dt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_01___0_5__,T_rt_og_varmt
0_75_l_ha,0_00___0_01__,T_rt_og_varmt
0_25_l_ha,0_01___0_5__,V_dt_og_koldt
0_l_ha,50___100__,V_dt_og_koldt
0_l_ha,25___50__,V_dt_og_varmt
0_75_l_ha,0_01___0_5__,V_dt_og_koldt
0_50_l_ha,0_01___0_5__,V_dt_og_koldt
0_25_l_ha,0_01___0_5__,T_rt_og_varmt
0_50_l_ha,1___2__,V_dt_og_varmt
0_l_ha,50___100__,V_dt_og_koldt
0_25_l_ha,2___6__,V_dt_og_varmt
0_l_ha,1___2__,T_rt_og_varmt
0_25_l_ha,0_00___0_01__,V_dt_og_koldt
0_l_ha,0_01___0_5__,V_dt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_koldt
0_75_l_ha,0_5___1__,V_dt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_l_ha,0_01___0_5__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_koldt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_50_l_ha,1___2__,T_rt_og_varmt
0_l_ha,25___50__,V_dt_og_koldt
0_50_l_ha,0_00___0_01__,T_rt_og_koldt
0_l_ha,1___2__,V_dt_og_koldt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,V_dt_og_varmt
0_75_l_ha,0_01___0_5__,V_dt_og_varmt
0_l_ha,6___10__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,T_rt_og_varmt
0_25_l_ha,6___10__,T_rt_og_varmt
0_50_l_ha,2___6__,V_dt_og_koldt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,V_dt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_l_ha,6___10__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_01___0_5__,T_rt_og_varmt
0_25_l_ha,0_01___0_5__,T_rt_og_varmt
0_75_l_ha,0_00___0_01__,T_rt_og_varmt
0_l_ha,50___100__,T_rt_og_varmt
0_50_l_ha,0_5___1__,T_rt_og_varmt
0_l_ha,0_5___1__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,T_rt_og_varmt
0_50_l_ha,1___2__,T_rt_og_varmt
0_25_l_ha,0_5___1__,T_rt_og_varmt
0_25_l_ha,0_00___0_01__,V_dt_og_koldt
0_50_l_ha,0_00___0_01__,T_rt_og_varmt
0_25_l_ha,2___6__,V_dt_og_varmt
0_25_l_ha,0_01___0_5__,V_dt_og_koldt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_l_ha,0_00___0_01__,T_rt_og_koldt
0_75_l_ha,0_00___0_01__,V_dt_og_koldt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_l_ha,0_01___0_5__,V_dt_og_koldt
0_50_l_ha,0_01___0_5__,T_rt_og_koldt
0_75_l_ha,0_01___0_5__,V_dt_og_varmt
0_l_ha,6___10__,V_dt_og_koldt
0_50_l_ha,0_00___0_01__,T_rt_og_varmt
0_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_5___1__,V_dt_og_varmt
0_50_l_ha,1___2__,T_rt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_l_ha,50___100__,V_dt_og_varmt
0_l_ha,2___6__,V_dt_og_koldt
0_25_l_ha,0_00___0_01__,V_dt_og_varmt
0_75_l_ha,1___2__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,V_dt_og_koldt
0_25_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,T_rt_og_koldt
0_l_ha,10___25__,T_rt_og_varmt
0_l_ha,2___6__,V_dt_og_varmt
0_25_l_ha,0_01___0_5__,V_dt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_l_ha,25___50__,V_dt_og_koldt
0_l_ha,6___10__,V_dt_og_varmt
0_l_ha,10___25__,V_dt_og_varmt
0_25_l_ha,6___10__,T_rt_og_varmt
0_l_ha,10___25__,V_dt_og_varmt
0_25_l_ha,2___6__,V_dt_og_varmt
0_25_l_ha,25___50__,T_rt_og_varmt
0_50_l_ha,0_00___0_01__,T_rt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_l_ha,50___100__,T_rt_og_koldt
0_50_l_ha,1___2__,T_rt_og_varmt
0_l_ha,1___2__,V_dt_og_koldt
0_l_ha,50___100__,V_dt_og_koldt
0_l_ha,25___50__,T_rt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_koldt
0_25_l_ha,0_00___0_01__,V_dt_og_koldt
0_25_l_ha,1___2__,T_rt_og_varmt
0_75_l_ha,0_01___0_5__,V_dt_og_varmt
0_l_ha,6___10__,V_dt_og_varmt
0_75_l_ha,0_5___1__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_koldt
0_25_l_ha,0_00___0_01__,V_dt_og_koldt
0_75_l_ha,0_00___0_01__,T_rt_og_varmt
0_25_l_ha,0_00___0_01__,T_rt_og_koldt
0_50_l_ha,0_01___0_5__,V_dt_og_varmt
0_50_l_ha,2___6__,V_dt_og_varmt
0_50_l_ha,0_01___0_5__,V_dt_og_koldt
0_25_l_ha,0_00___0_01__,V_dt_og_koldt
0_50_l_ha,0_00___0_01__,V_dt_og_koldt
0_25_l_ha,0_00___0_01__,T_rt_og_varmt
0_75_l_ha,0_01___0_5__,T_rt_og_koldt
0_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_01___0_5__,T_rt_og_koldt
0_25_l_ha,0_00___0_01__,V_dt_og_koldt
0_25_l_ha,0_5___1__,V_dt_og_koldt
0_25_l_ha,0_00___0_01__,V_dt_og_koldt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,T_rt_og_varmt
0_25_l_ha,1___2__,T_rt_og_koldt
0_75_l_ha,0_00___0_01__,T_rt_og_koldt
0_25_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,T_rt_og_koldt
0_l_ha,2___6__,V_dt_og_varmt
0_75_l_ha,0_5___1__,V_dt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_koldt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_l_ha,25___50__,V_dt_og_varmt
0_l_ha,25___50__,T_rt_og_koldt
0_l_ha,2___6__,V_dt_og_koldt
0_25_l_ha,0_00___0_01__,V_dt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_koldt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_l_ha,50___100__,V_dt_og_koldt
0_50_l_ha,0_00___0_01__,V_dt_og_koldt
0_75_l_ha,0_00___0_01__,V_dt_og_koldt
0_l_ha,0_5___1__,T_rt_og_varmt
0_l_ha,6___10__,V_dt_og_koldt
0_l_ha,50___100__,V_dt_og_koldt
0_75_l_ha,0_00___0_01__,T_rt_og_varmt
0_75_l_ha,0_5___1__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,T_rt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,1___2__,T_rt_og_varmt
0_25_l_ha,0_00___0_01__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_koldt
0_l_ha,0_5___1__,T_rt_og_koldt
0_75_l_ha,2___6__,T_rt_og_varmt
0_l_ha,0_00___0_01__,V_dt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_5___1__,V_dt_og_varmt
0_l_ha,25___50__,T_rt_og_varmt
0_l_ha,10___25__,V_dt_og_koldt
0_25_l_ha,1___2__,T_rt_og_koldt
0_l_ha,2___6__,T_rt_og_varmt
0_25_l_ha,0_00___0_01__,V_dt_og_koldt
0_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,T_rt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_koldt
0_l_ha,0_5___1__,V_dt_og_varmt
0_50_l_ha,1___2__,T_rt_og_koldt
0_75_l_ha,0_00___0_01__,T_rt_og_koldt
0_75_l_ha,0_00___0_01__,V_dt_og_koldt
0_50_l_ha,0_5___1__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_koldt
0_l_ha,10___25__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,T_rt_og_koldt
0_75_l_ha,1___2__,V_dt_og_varmt
0_l_ha,10___25__,V_dt_og_varmt
0_25_l_ha,2___6__,T_rt_og_varmt
0_75_l_ha,0_00___0_01__,T_rt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_50_l_ha,0_00___0_01__,T_rt_og_varmt
0_25_l_ha,25___50__,V_dt_og_varmt
0_50_l_ha,1___2__,V_dt_og_koldt
0_l_ha,6___10__,T_rt_og_varmt
0_75_l_ha,0_01___0_5__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_koldt
0_l_ha,6___10__,V_dt_og_varmt
0_l_ha,50___100__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_koldt
0_75_l_ha,0_00___0_01__,V_dt_og_koldt
0_l_ha,0_00___0_01__,T_rt_og_varmt
0_25_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,T_rt_og_varmt
0_25_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_01___0_5__,T_rt_og_varmt
0_50_l_ha,0_5___1__,T_rt_og_koldt
0_50_l_ha,0_01___0_5__,V_dt_og_koldt
0_50_l_ha,1___2__,V_dt_og_varmt
0_50_l_ha,1___2__,V_dt_og_varmt
0_50_l_ha,2___6__,V_dt_og_varmt
0_l_ha,0_00___0_01__,T_rt_og_varmt
0_50_l_ha,0_01___0_5__,V_dt_og_koldt
0_50_l_ha,0_00___0_01__,T_rt_og_koldt
0_25_l_ha,0_01___0_5__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_koldt
0_25_l_ha,0_00___0_01__,V_dt_og_koldt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,T_rt_og_varmt
0_25_l_ha,1___2__,V_dt_og_varmt
0_l_ha,2___6__,T_rt_og_varmt
0_25_l_ha,1___2__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,T_rt_og_varmt
0_75_l_ha,0_01___0_5__,T_rt_og_koldt
0_50_l_ha,0_00___0_01__,V_dt_og_koldt
0_75_l_ha,1___2__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_l_ha,25___50__,V_dt_og_varmt
0_75_l_ha,0_01___0_5__,T_rt_og_varmt
0_l_ha,50___100__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,6___10__,V_dt_og_koldt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,T_rt_og_koldt
0_25_l_ha,0_5___1__,V_dt_og_koldt
0_50_l_ha,0_00___0_01__,T_rt_og_varmt
0_25_l_ha,2___6__,V_dt_og_koldt
0_75_l_ha,0_01___0_5__,T_rt_og_varmt
0_75_l_ha,0_00___0_01__,T_rt_og_varmt
0_50_l_ha,0_00___0_01__,T_rt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_koldt
0_50_l_ha,0_00___0_01__,T_rt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_75_l_ha,0_01___0_5__,V_dt_og_koldt
0_l_ha,0_00___0_01__,T_rt_og_varmt
0_l_ha,6___10__,T_rt_og_varmt
0_50_l_ha,0_01___0_5__,V_dt_og_koldt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,T_rt_og_varmt
0_50_l_ha,0_00___0_01__,T_rt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_l_ha,10___25__,T_rt_og_varmt
0_l_ha,50___100__,T_rt_og_varmt
0_75_l_ha,0_00___0_01__,T_rt_og_koldt
0_25_l_ha,0_01___0_5__,V_dt_og_koldt
0_75_l_ha,0_00___0_01__,V_dt_og_koldt
0_50_l_ha,0_00___0_01__,T_rt_og_koldt
0_25_l_ha,0_00___0_01__,T_rt_og_varmt
0_l_ha,10___25__,T_rt_og_koldt
0_l_ha,25___50__,T_rt_og_varmt
0_75_l_ha,0_00___0_01__,T_rt_og_varmt
0_l_ha,10___25__,T_rt_og_koldt
0_l_ha,10___25__,T_rt_og_varmt
0_l_ha,0_00___0_01__,V_dt_og_koldt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_l_ha,1___2__,V_dt_og_koldt
0_l_ha,0_00___0_01__,V_dt_og_varmt
0_75_l_ha,0_01___0_5__,T_rt_og_varmt
0_l_ha,50___100__,T_rt_og_varmt
0_75_l_ha,2___6__,V_dt_og_varmt
0_25_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,0_5___1__,T_rt_og_varmt
0_l_ha,10___25__,T_rt_og_koldt
0_l_ha,0_5___1__,V_dt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_koldt
0_25_l_ha,6___10__,T_rt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_koldt
0_l_ha,1___2__,V_dt_og_varmt
0_l_ha,50___100__,V_dt_og_koldt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_l_ha,0_00___0_01__,V_dt_og_koldt
0_50_l_ha,0_01___0_5__,V_dt_og_varmt
0_75_l_ha,0_00___0_01__,T_rt_og_varmt
0_25_l_ha,0_00___0_01__,T_rt_og_koldt
0_50_l_ha,0_00___0_01__,V_dt_og_koldt
0_l_ha,10___25__,V_dt_og_koldt
0_l_ha,0_01___0_5__,T_rt_og_koldt
0_75_l_ha,2___6__,T_rt_og_koldt
0_50_l_ha,0_01___0_5__,T_rt_og_koldt
0_l_ha,10___25__,T_rt_og_varmt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_50_l_ha,0_00___0_01__,V_dt_og_koldt
0_75_l_ha,0_00___0_01__,V_dt_og_varmt
0_25_l_ha,1___2__,T_rt_og_varmt
0_l_ha,0_00___0_01__,V_dt_og_varmt
