Attribute9,Attribute15,Attribute18
A93,A152,1
A92,A152,1
A94,A152,1
A92,A151,1
A93,A153,2
A92,A152,1
A93,A152,1
A93,A151,1
A92,A153,1
A94,A152,1
A91,A151,1
A92,A152,1
A94,A152,1
A94,A152,1
A93,A152,1
A93,A152,1
A93,A152,2
A94,A152,1
A93,A152,2
A94,A152,1
A91,A152,1
A94,A152,1
A92,A152,1
A93,A152,1
A93,A152,1
A93,A151,2
A92,A152,1
A93,A152,2
A93,A152,2
A92,A151,1
A92,A152,1
A92,A152,1
A92,A151,1
A93,A152,1
A93,A152,2
A93,A152,1
A92,A152,1
A94,A151,1
A93,A152,1
A93,A152,1
A93,A152,1
A92,A153,2
A93,A152,1
A93,A152,1
A93,A153,1
A91,A152,1
A93,A152,1
A94,A152,1
A94,A151,1
A92,A152,1
A93,A152,1
A92,A152,1
A93,A152,1
A92,A152,1
A93,A152,1
A93,A152,2
A92,A152,1
A92,A151,1
A92,A152,1
A93,A152,1
A92,A152,1
A94,A152,1
A93,A152,1
A92,A152,1
A93,A152,1
A93,A152,1
A93,A152,1
A92,A152,1
A93,A151,2
A93,A153,1
A92,A152,1
A93,A152,1
A93,A152,2
A93,A152,1
A92,A151,1
A93,A152,1
A93,A152,1
A93,A152,2
A92,A151,1
A93,A152,2
A92,A152,1
A93,A152,1
A94,A151,1
A92,A152,1
A93,A152,1
A93,A152,2
A94,A152,1
A92,A151,1
A93,A152,1
A93,A152,1
A93,A152,1
A93,A152,2
A92,A152,1
A93,A152,1
A92,A151,1
A92,A152,1
A93,A152,1
A93,A152,1
A93,A152,1
A92,A153,1
A93,A151,1
A93,A151,1
A93,A152,1
A92,A153,1
A92,A152,1
A93,A152,1
A93,A151,2
A94,A152,1
A93,A151,1
A93,A152,1
A94,A152,1
A91,A152,2
A92,A152,1
A93,A153,2
A91,A152,1
A93,A152,2
A92,A151,1
A93,A152,1
A93,A152,1
A93,A152,2
A94,A152,1
A93,A152,1
A93,A152,1
A93,A153,1
A93,A151,1
A94,A151,1
A93,A152,1
A92,A152,1
A93,A152,2
A92,A151,1
A93,A152,1
A93,A153,1
A93,A153,1
A92,A152,1
A93,A153,2
A92,A152,1
A92,A152,2
A93,A152,1
A92,A152,1
A93,A152,2
A91,A151,1
A93,A152,2
A93,A152,2
A92,A151,1
A94,A151,1
A94,A152,1
A93,A152,1
A91,A151,1
A92,A152,1
A92,A152,1
A93,A153,1
A92,A152,1
A94,A151,1
A93,A153,1
A93,A152,1
A93,A152,2
A93,A152,1
A93,A153,2
A92,A152,1
A93,A152,2
A92,A152,1
A93,A153,1
A92,A152,1
A93,A152,2
A94,A152,1
A93,A152,1
A92,A152,1
A93,A152,1
A92,A152,1
A92,A152,1
A93,A152,1
A93,A152,1
A93,A153,2
A93,A151,1
A92,A152,1
A93,A153,1
A93,A152,1
A92,A151,1
A91,A152,1
A93,A152,1
A93,A152,2
A92,A152,1
A92,A151,1
A93,A152,1
A92,A151,1
A92,A152,1
A93,A152,1
A92,A152,1
A92,A152,1
A92,A152,1
A91,A152,1
A94,A152,1
A93,A152,1
A93,A152,2
A92,A151,1
A93,A151,1
A92,A153,1
A92,A151,1
A93,A151,2
A93,A152,1
A94,A152,1
A93,A152,1
A92,A152,1
A92,A151,1
A92,A152,1
A92,A151,1
A93,A152,1
A92,A152,1
A92,A151,1
A93,A152,1
A93,A152,1
A93,A153,1
A92,A152,1
A92,A152,1
A92,A153,1
A92,A152,1
A92,A152,1
A93,A152,1
A93,A152,1
A92,A153,1
A93,A152,1
A93,A153,2
A92,A152,1
A92,A153,2
A92,A152,1
A92,A151,1
A92,A152,1
A93,A152,1
A93,A153,1
A93,A151,2
A92,A151,1
A91,A152,1
A93,A152,1
A93,A152,1
A91,A152,1
A92,A151,1
A93,A153,1
A93,A152,1
A93,A152,1
A93,A152,1
A93,A152,1
A93,A152,1
A92,A152,1
A93,A152,1
A93,A152,1
A92,A151,1
A92,A152,1
A93,A152,2
A92,A152,1
A93,A152,1
A92,A152,2
A93,A152,2
A92,A152,1
A93,A152,1
A93,A152,1
A94,A152,1
A94,A152,1
A93,A151,1
A91,A152,1
A92,A152,1
A93,A153,2
A93,A151,2
A93,A153,1
A93,A152,1
A93,A152,1
A93,A152,1
A93,A152,1
A93,A153,1
A93,A152,2
A93,A152,1
A92,A152,1
A93,A152,1
A94,A151,1
A94,A152,1
A93,A152,1
A93,A152,1
A92,A152,1
A93,A152,1
A93,A152,2
A92,A152,1
A93,A151,1
A93,A152,1
A93,A152,1
A93,A152,1
A93,A152,1
A94,A152,1
A93,A152,2
A92,A151,1
A93,A152,1
A94,A152,1
A93,A151,1
A92,A152,1
A92,A152,1
A93,A153,1
A94,A152,1
A94,A153,1
A93,A152,2
A93,A153,2
A93,A152,1
A93,A153,1
A93,A152,1
A93,A152,2
A91,A152,1
A92,A152,1
A93,A152,1
A93,A152,2
A93,A152,1
A93,A151,1
A93,A152,1
A92,A152,1
A93,A152,1
A93,A151,1
A92,A151,1
A93,A153,1
A92,A153,1
A93,A152,1
A92,A152,2
A92,A153,1
A93,A152,1
A92,A151,1
A92,A152,1
A93,A152,2
A93,A152,1
A92,A153,1
A93,A152,1
A93,A152,1
A93,A152,1
A93,A152,1
A93,A152,2
A93,A153,1
A93,A152,1
A94,A152,1
A93,A152,1
A92,A151,2
A92,A152,1
A92,A152,1
A92,A151,1
A92,A152,1
A94,A152,1
A92,A151,1
A92,A151,1
A91,A152,1
A93,A152,1
A93,A151,2
A92,A152,1
A92,A151,1
A92,A152,2
A92,A152,1
A92,A151,1
A93,A152,2
A93,A152,2
A92,A151,1
A93,A152,1
A93,A152,1
A93,A152,1
A93,A152,1
A93,A152,1
A93,A152,1
A92,A151,1
A92,A152,1
A93,A152,1
A93,A152,1
A92,A152,1
A92,A152,1
A92,A151,1
A92,A152,1
A93,A153,2
A92,A151,1
A93,A152,2
A93,A153,1
A93,A152,1
A93,A152,1
A92,A152,1
A92,A151,1
A93,A152,1
A93,A153,1
A94,A152,1
A94,A152,1
A91,A152,1
A92,A151,1
A93,A151,1
A93,A152,1
A92,A151,1
A92,A152,1
A93,A152,1
A93,A152,1
A93,A153,1
A92,A151,1
A93,A152,1
A92,A152,1
A93,A152,1
A92,A152,1
A93,A152,1
A93,A152,1
A93,A152,1
A92,A152,1
A91,A152,1
A93,A152,1
A93,A152,1
A93,A152,2
A93,A153,1
A93,A152,1
A92,A152,2
A93,A152,2
A94,A152,1
A91,A153,1
A93,A151,1
A92,A151,1
A93,A153,2
A92,A151,1
A94,A152,1
A93,A152,1
A93,A153,2
A92,A151,1
A92,A152,1
A93,A152,1
A92,A151,1
A93,A152,1
A94,A152,1
A93,A152,1
A93,A153,1
A92,A151,1
A94,A152,1
A94,A152,1
A93,A152,1
A93,A152,1
A93,A153,2
A92,A151,1
A91,A152,1
A92,A151,1
A91,A152,1
A94,A152,1
A94,A152,1
A94,A152,1
A93,A152,2
A93,A152,1
A91,A152,1
A94,A152,1
A92,A151,1
A93,A152,2
A93,A153,1
A93,A153,2
A93,A152,2
A92,A151,1
A93,A151,1
A92,A152,1
A92,A152,1
A93,A152,1
A92,A152,1
A92,A151,2
A93,A152,1
A94,A152,1
A93,A152,1
A93,A152,1
A92,A152,1
A93,A152,1
A93,A152,2
A93,A152,1
A93,A151,1
A94,A152,1
A93,A152,1
A93,A152,1
A94,A151,1
A93,A152,1
A93,A153,1
A93,A153,2
A93,A152,2
A94,A152,1
A92,A152,1
A93,A153,1
A92,A152,1
A93,A151,2
A93,A152,1
A94,A152,1
A92,A152,1
A93,A152,2
A93,A151,1
A92,A151,1
A92,A152,1
A93,A152,1
A93,A152,1
A92,A151,1
A92,A152,1
A93,A152,2
A93,A152,1
A92,A152,1
A93,A152,2
A92,A152,1
A93,A153,1
A93,A152,1
A93,A153,1
A93,A152,1
A93,A152,1
A91,A153,1
A93,A152,1
A92,A152,1
A91,A152,1
A92,A152,1
A93,A152,2
A93,A152,1
A93,A152,1
A93,A151,2
A93,A152,2
A93,A152,1
A93,A152,1
A93,A152,1
A93,A152,1
A93,A152,2
A92,A151,1
A92,A152,1
A92,A151,1
A93,A152,1
A93,A151,1
A91,A152,1
A93,A153,1
A94,A151,1
A93,A152,1
A93,A151,2
A93,A152,1
A94,A152,1
A92,A152,1
A92,A152,1
A92,A152,1
A92,A152,1
A92,A152,1
A91,A152,1
A93,A151,1
A92,A152,1
A93,A152,2
A93,A152,1
A91,A152,1
A93,A151,1
A92,A152,1
A93,A152,1
A92,A151,1
A93,A151,2
A91,A152,1
A93,A152,1
A92,A151,1
A93,A153,2
A93,A152,1
A93,A152,2
A93,A152,1
A92,A152,1
A93,A152,1
A93,A152,2
A92,A152,1
A93,A152,1
A92,A152,1
A94,A151,1
A93,A153,1
A93,A152,2
A93,A152,2
A93,A152,2
A93,A152,1
A93,A152,2
A92,A151,1
A92,A152,1
A93,A153,2
A93,A152,1
A94,A152,2
A93,A152,1
A94,A152,2
A93,A152,1
A92,A151,1
A92,A152,1
A92,A152,1
A92,A151,1
A93,A152,1
A93,A152,1
A93,A152,1
A93,A153,1
A94,A151,1
A91,A152,1
A93,A152,1
A93,A152,1
A94,A152,1
A92,A152,1
A93,A152,1
A92,A151,1
A94,A151,1
A93,A152,2
A93,A152,1
A93,A152,2
A92,A151,1
A93,A151,1
A92,A152,1
A92,A152,1
A92,A152,1
A93,A152,1
A93,A152,2
A94,A151,1
A93,A152,1
A93,A151,1
A92,A152,1
A93,A152,2
A93,A152,1
A92,A151,1
A91,A152,1
A92,A152,1
A93,A153,1
A93,A152,1
A93,A152,2
A93,A152,2
A94,A151,1
A93,A152,1
A93,A152,1
A92,A152,1
A91,A152,1
A93,A152,1
A93,A153,1
A93,A152,1
