Attribute3,Attribute16,Attribute18,Attribute19
A33,2,1,A191
A32,1,1,A192
A33,1,1,A191
A34,2,1,A191
A31,1,1,A191
A32,1,1,A192
A34,3,1,A191
A32,1,1,A191
A32,1,1,A191
A34,3,1,A192
A34,3,1,A191
A34,2,2,A191
A32,1,2,A191
A34,2,1,A191
A32,1,1,A192
A32,1,1,A192
A32,2,1,A191
A32,1,1,A191
A34,1,1,A192
A31,1,1,A192
A32,2,1,A191
A32,1,1,A192
A32,1,2,A191
A34,2,1,A191
A32,1,1,A192
A32,1,1,A191
A32,1,1,A192
A34,2,1,A192
A32,1,1,A191
A31,1,1,A191
A34,1,1,A191
A34,1,1,A192
A32,1,1,A192
A32,1,2,A191
A33,1,1,A192
A32,2,1,A192
A33,1,1,A191
A32,1,1,A192
A32,1,1,A192
A34,2,2,A192
A34,1,1,A191
A34,2,2,A191
A32,1,1,A192
A32,1,1,A191
A32,1,1,A191
A32,1,1,A192
A34,2,1,A192
A32,1,1,A192
A30,1,1,A192
A34,2,2,A191
A34,2,1,A192
A34,1,1,A191
A32,1,1,A191
A32,1,1,A191
A32,1,1,A192
A32,1,1,A191
A32,1,1,A191
A32,1,1,A192
A32,1,1,A191
A32,1,1,A191
A32,1,1,A191
A32,1,2,A191
A31,1,1,A191
A32,1,2,A191
A32,1,1,A192
A34,2,1,A191
A33,2,1,A191
A34,2,1,A191
A32,1,1,A191
A32,1,1,A192
A32,1,1,A191
A34,2,1,A191
A34,2,1,A191
A34,1,1,A192
A32,1,2,A192
A32,1,1,A191
A32,1,2,A191
A34,2,1,A192
A34,2,1,A191
A32,1,1,A191
A34,2,1,A191
A30,2,2,A191
A34,1,1,A192
A32,1,1,A191
A32,1,1,A191
A32,1,1,A191
A32,1,1,A191
A34,2,1,A192
A32,1,1,A191
A32,1,1,A191
A32,1,1,A192
A32,1,2,A191
A34,1,1,A191
A34,2,1,A191
A32,1,1,A191
A33,2,1,A191
A34,2,2,A191
A32,1,1,A192
A32,1,1,A191
A34,1,1,A192
A30,2,1,A192
A32,1,1,A192
A32,1,1,A191
A34,1,1,A192
A33,2,1,A192
A32,1,1,A191
A32,1,1,A191
A32,1,1,A191
A32,1,1,A191
A33,2,1,A192
A32,1,1,A191
A32,1,1,A191
A32,1,1,A192
A34,2,1,A191
A32,1,1,A191
A32,1,2,A191
A32,1,1,A191
A32,1,1,A191
A34,2,1,A192
A34,2,1,A191
A34,1,1,A192
A31,2,1,A192
A31,1,1,A191
A33,2,1,A191
A33,1,1,A191
A32,1,1,A192
A34,2,1,A191
A32,1,1,A192
A32,1,1,A192
A32,1,1,A191
A32,1,1,A191
A33,2,1,A191
A34,2,1,A191
A32,1,1,A192
A34,2,1,A192
A34,1,1,A191
A32,2,1,A191
A32,1,1,A192
A32,1,1,A191
A32,1,2,A192
A34,1,1,A191
A34,1,1,A191
A33,1,1,A192
A32,1,1,A191
A34,2,1,A192
A32,2,1,A191
A34,2,1,A191
A32,1,1,A192
A34,2,1,A191
A33,2,1,A192
A33,2,1,A191
A33,1,2,A191
A32,1,1,A192
A34,2,2,A192
A32,1,1,A191
A32,1,1,A192
A34,3,1,A192
A32,1,1,A192
A34,2,1,A192
A34,2,1,A192
A32,1,2,A191
A32,1,1,A191
A34,2,2,A192
A32,1,2,A191
A33,2,1,A192
A32,1,1,A191
A32,1,1,A191
A32,1,1,A191
A32,1,1,A191
A34,2,2,A191
A33,2,1,A191
A32,1,1,A192
A32,1,1,A192
A34,2,1,A191
A34,2,1,A191
A32,1,1,A191
A34,3,2,A191
A32,1,1,A191
A32,2,1,A192
A34,3,1,A192
A34,2,1,A192
A32,1,1,A191
A32,1,1,A192
A32,1,1,A191
A34,2,1,A192
A34,2,1,A191
A31,1,1,A191
A32,1,1,A192
A32,1,1,A191
A33,2,1,A192
A32,1,2,A191
A34,1,1,A192
A34,2,1,A191
A32,1,1,A192
A32,1,1,A191
A32,1,1,A192
A33,2,1,A191
A34,1,1,A192
A32,1,1,A191
A30,2,1,A191
A32,1,1,A192
A32,1,1,A192
A32,1,1,A192
A34,2,2,A191
A32,1,1,A192
A32,1,1,A191
A32,1,1,A192
A32,1,2,A191
A32,1,1,A191
A32,1,1,A191
A32,2,1,A191
A32,2,1,A192
A32,1,2,A192
A33,1,1,A192
A33,2,2,A191
A33,2,1,A192
A33,2,1,A192
A32,1,1,A192
A32,1,1,A191
A32,1,1,A191
A32,1,2,A192
A34,1,1,A191
A30,1,1,A191
A32,1,1,A191
A32,1,1,A191
A32,1,1,A191
A34,2,2,A192
A34,1,1,A191
A32,1,1,A191
A32,2,1,A192
A33,2,1,A191
A34,1,1,A192
A33,1,1,A192
A32,1,1,A192
A32,1,1,A192
A32,1,1,A191
A32,1,1,A191
A34,2,1,A191
A30,2,1,A192
A34,2,1,A191
A32,1,1,A191
A34,2,2,A191
A32,1,1,A191
A32,1,1,A192
A34,2,1,A191
A32,1,1,A191
A34,2,2,A192
A32,1,1,A191
A32,1,2,A191
A32,1,1,A191
A34,2,2,A191
A32,1,1,A191
A32,1,1,A191
A34,1,1,A192
A31,1,2,A192
A32,1,1,A191
A32,1,1,A192
A32,1,1,A191
A32,1,1,A192
A32,1,1,A192
A33,2,1,A191
A32,1,1,A191
A34,2,1,A191
A34,1,2,A191
A34,2,1,A192
A32,1,1,A192
A34,2,1,A191
A34,2,1,A191
A32,1,1,A191
A30,2,2,A191
A32,1,1,A191
A32,1,2,A191
A32,2,1,A191
A34,1,1,A191
A34,2,2,A191
A32,1,1,A191
A32,1,2,A192
A32,2,2,A191
A32,2,1,A192
A33,1,1,A191
A32,1,1,A192
A32,2,1,A191
A34,1,1,A191
A32,1,1,A192
A34,1,1,A192
A32,1,1,A191
A32,1,1,A191
A32,1,1,A191
A33,2,1,A192
A32,1,1,A191
A32,1,2,A191
A34,2,1,A191
A33,2,2,A191
A34,1,1,A192
A32,1,2,A191
A31,1,1,A191
A34,2,1,A192
A34,2,1,A191
A31,1,2,A191
A32,2,1,A192
A34,1,1,A191
A32,2,1,A192
A32,1,1,A191
A30,2,1,A191
A30,2,1,A192
A31,1,1,A191
A34,2,1,A191
A32,1,2,A192
A31,1,1,A191
A33,1,1,A191
A32,1,1,A192
A33,2,1,A192
A33,2,1,A192
A32,1,1,A191
A34,1,1,A191
A32,2,2,A192
A32,1,1,A192
A32,1,1,A192
A34,1,1,A191
A32,1,1,A192
A32,1,1,A191
A32,2,1,A191
A34,2,1,A191
A32,1,1,A191
A34,2,1,A192
A34,2,1,A191
A32,2,1,A191
A34,2,1,A191
A34,2,2,A191
A32,1,1,A191
A32,1,1,A191
A32,1,1,A192
A32,1,1,A191
A34,2,2,A191
A32,1,1,A191
A32,1,1,A192
A34,2,1,A191
A34,4,1,A192
A33,2,1,A192
A32,1,1,A191
A32,1,1,A192
A31,1,1,A192
A31,1,1,A191
A32,2,1,A191
A30,3,1,A192
A34,2,1,A191
A33,1,1,A191
A32,1,1,A191
A32,1,1,A191
A31,1,1,A191
A32,1,1,A192
A32,1,1,A191
A31,1,1,A192
A34,1,1,A192
A32,1,1,A191
A32,1,1,A191
A32,1,2,A191
A32,1,1,A191
A32,1,2,A191
A32,1,1,A191
A31,1,1,A191
A33,1,1,A191
A30,1,1,A192
A33,1,1,A191
A34,3,2,A191
A32,1,1,A191
A32,1,1,A191
A34,2,1,A191
A34,2,1,A191
A32,1,1,A191
A32,1,1,A191
A32,2,1,A191
A32,1,1,A191
A32,1,1,A192
A31,1,1,A191
A34,2,1,A192
A32,1,1,A191
A32,1,1,A191
A31,1,1,A191
A32,1,1,A191
A32,2,1,A191
A32,1,1,A192
A32,3,2,A192
A32,1,1,A191
A33,2,1,A192
A32,1,2,A191
A33,2,2,A192
A32,1,1,A191
A32,2,1,A191
A32,1,1,A192
A34,2,1,A192
A34,2,1,A192
A33,2,1,A192
A30,2,1,A191
A32,1,1,A191
A32,1,2,A191
A32,1,2,A191
A32,1,1,A192
A32,1,1,A191
A32,1,1,A191
A33,4,1,A192
A34,2,1,A192
A32,1,1,A191
A32,1,2,A191
A32,1,1,A192
A30,2,1,A191
A34,1,1,A192
A32,1,1,A191
A32,1,1,A191
A32,2,1,A191
A33,2,1,A192
A34,1,1,A191
A34,2,1,A192
A31,1,2,A192
A31,1,1,A191
A34,2,1,A192
A34,1,1,A191
A34,2,1,A192
A32,2,1,A192
A32,1,1,A192
A34,1,1,A191
A33,1,2,A191
A34,1,1,A192
A34,1,1,A192
A32,1,1,A191
A32,1,1,A191
A32,1,1,A191
A32,1,1,A191
A32,1,1,A192
A33,2,1,A191
A34,3,1,A192
A33,2,2,A192
A32,1,2,A192
A34,2,1,A192
A33,1,1,A191
A32,1,1,A192
A32,1,2,A191
A34,2,1,A191
A32,1,1,A191
A32,1,1,A191
A34,2,2,A191
A32,1,1,A192
A32,1,1,A191
A32,2,1,A191
A34,1,1,A191
A34,2,1,A191
A32,1,1,A192
A32,1,1,A191
A34,2,1,A192
A32,1,1,A192
A33,2,1,A191
A32,1,2,A192
A32,1,1,A191
A32,1,1,A191
A30,2,1,A191
A32,1,1,A191
A32,1,2,A191
A34,2,1,A192
A31,1,1,A191
A32,1,1,A192
A34,2,1,A191
A32,1,1,A192
A34,2,1,A191
A34,2,2,A192
A32,1,1,A192
A34,2,1,A192
A30,2,1,A192
A30,2,1,A192
A31,1,2,A191
A32,1,1,A191
A32,1,1,A191
A32,1,1,A191
A34,2,1,A191
A34,2,1,A191
A32,2,1,A191
A31,1,1,A191
A34,2,1,A192
A33,1,1,A191
A32,1,2,A191
A32,1,1,A191
A32,1,1,A192
A34,1,2,A191
A31,1,1,A191
A32,2,1,A191
A32,1,2,A192
A34,2,2,A192
A30,2,1,A191
A31,1,1,A191
A31,1,1,A191
A32,1,1,A192
A31,1,1,A192
A34,2,1,A192
A34,2,1,A191
A32,1,1,A191
A32,1,1,A191
A32,1,1,A191
A32,1,1,A191
A32,1,1,A192
A32,1,1,A191
A32,1,1,A191
A34,2,1,A191
A33,2,2,A191
A32,1,1,A191
A34,3,2,A191
A34,2,1,A192
A32,1,1,A192
A34,2,1,A191
A34,1,1,A192
A34,2,1,A191
A32,1,1,A191
A34,1,1,A192
A34,2,1,A192
A32,2,1,A191
A32,1,1,A191
A32,1,1,A191
A34,3,1,A192
A34,2,1,A192
A32,1,1,A191
A34,2,1,A192
A34,1,1,A192
A34,2,1,A191
A34,3,1,A191
A32,1,1,A191
A34,2,1,A192
A32,1,1,A191
A34,2,1,A192
A32,1,1,A192
A34,2,1,A191
A34,1,1,A192
A30,1,1,A192
A32,1,1,A191
A32,1,1,A192
A32,1,1,A192
A32,1,1,A191
A34,2,2,A192
A33,1,1,A191
A34,1,1,A192
A32,1,2,A191
A32,1,2,A192
A34,2,1,A191
A32,1,1,A191
A32,1,1,A192
A32,1,1,A191
A32,1,2,A192
A34,2,1,A191
A33,2,1,A192
A32,1,1,A191
A34,2,2,A191
A34,2,1,A192
A34,2,1,A191
A34,2,1,A191
A32,1,1,A191
A32,1,1,A192
A32,1,1,A191
A34,4,1,A191
A31,1,1,A192
A30,2,1,A191
A32,1,1,A192
A32,1,1,A191
A34,2,1,A192
A32,1,1,A191
A32,1,2,A191
A33,1,1,A191
A32,1,1,A191
A34,2,1,A192
A32,1,1,A191
A32,1,1,A191
A32,2,1,A192
A32,1,1,A191
A32,1,2,A191
A34,2,1,A191
A34,2,1,A192
A34,2,1,A192
A34,3,1,A192
A30,2,2,A191
A32,1,1,A191
A33,1,2,A192
A33,2,2,A192
A32,1,1,A192
A30,2,1,A191
A32,1,1,A192
A32,1,1,A191
A30,2,1,A191
A32,1,1,A191
A32,1,2,A191
A34,2,1,A192
A34,2,1,A191
A32,1,1,A191
A33,2,1,A191
A32,1,1,A191
A31,1,1,A192
A32,3,2,A192
A32,1,1,A192
A32,2,1,A191
A32,1,1,A191
A32,1,1,A191
A32,1,1,A191
A34,2,1,A191
A34,2,1,A192
A34,2,1,A192
A31,2,2,A191
A33,2,2,A192
A32,1,1,A192
A32,1,1,A192
A34,1,1,A192
A32,1,1,A192
A32,1,2,A191
A34,2,1,A191
A33,1,1,A192
A32,1,1,A192
A34,2,2,A192
A32,1,1,A191
A32,1,1,A191
A32,1,1,A191
A34,1,1,A191
A32,2,1,A191
A32,1,1,A191
A33,2,1,A192
A34,2,2,A191
A34,2,1,A192
A32,1,1,A191
A32,1,2,A191
A34,2,1,A191
A31,1,1,A192
A32,1,1,A191
A32,1,1,A192
A34,2,1,A191
A32,1,1,A192
A32,1,1,A192
A34,2,1,A191
A34,2,1,A191
A32,1,1,A192
A32,1,1,A191
A34,2,2,A192
A32,1,1,A192
A34,2,1,A192
A31,2,2,A192
A34,4,2,A192
A34,2,1,A192
A34,2,1,A191
A34,2,1,A192
A34,2,1,A192
A33,1,2,A192
A32,1,1,A192
A34,1,1,A191
A32,1,1,A191
A32,1,1,A191
A34,1,1,A192
A34,2,1,A192
A34,2,1,A191
A32,1,1,A192
A32,1,1,A192
A32,1,2,A192
A32,1,1,A191
A32,1,1,A191
A33,2,1,A191
A32,1,1,A191
A33,2,1,A191
A34,1,1,A191
A32,1,1,A191
A32,1,1,A192
A31,1,1,A192
A30,1,1,A192
A32,1,2,A191
A32,1,1,A192
A32,1,1,A191
A32,1,1,A192
A34,2,1,A191
A33,1,1,A192
A32,1,1,A191
A32,1,2,A192
A31,1,1,A192
A31,2,1,A192
A34,1,1,A191
A32,3,2,A192
A32,1,1,A192
A33,2,2,A191
A32,1,1,A191
A32,1,1,A192
A34,2,1,A191
A34,2,2,A192
A32,1,1,A191
A33,2,1,A191
A32,1,1,A191
A32,1,1,A192
A32,1,1,A191
A34,2,2,A192
A32,1,2,A192
A32,1,2,A191
A32,1,1,A192
A34,3,2,A191
A32,1,1,A191
A30,2,1,A191
A31,1,2,A192
A32,1,1,A192
A32,1,2,A191
A32,2,1,A191
A34,3,2,A192
A33,2,1,A192
A32,1,1,A191
A32,2,1,A192
A32,1,1,A192
A34,2,1,A192
A34,2,1,A191
A34,3,1,A191
A32,1,1,A191
A32,1,1,A191
A34,2,1,A191
A33,2,1,A191
A32,1,1,A191
A32,2,1,A192
A32,1,1,A191
A32,1,1,A191
A34,2,1,A191
A32,1,1,A192
A32,1,1,A192
A34,2,2,A191
A32,1,1,A191
A32,1,2,A191
A31,2,1,A191
A32,1,1,A191
A34,1,1,A192
A32,1,1,A191
A32,1,1,A191
A33,2,1,A191
A33,2,2,A191
A31,1,1,A191
A34,1,1,A191
A32,1,1,A192
A32,1,1,A192
A32,1,2,A191
A34,2,1,A191
A34,2,1,A191
A30,2,1,A191
A32,1,1,A191
A32,1,1,A192
A34,2,1,A191
A34,2,2,A191
A31,1,2,A191
A32,2,1,A191
A32,1,1,A192
A32,1,1,A192
A32,1,1,A191
A32,1,1,A192
A32,1,1,A191
A32,1,1,A192
A34,1,1,A191
