F,G,H,I,J,O
Never-married,Transport-moving,Not-in-family,White,Male,<=50K
Never-married,Other-service,Other-relative,White,Male,<=50K
Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
Widowed,Other-service,Unmarried,White,Female,<=50K
Separated,Prof-specialty,Not-in-family,White,Female,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
Never-married,Sales,Not-in-family,White,Female,<=50K
Never-married,Sales,Own-child,White,Male,<=50K
Separated,Adm-clerical,Unmarried,White,Male,<=50K
Divorced,Prof-specialty,Unmarried,White,Female,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
Widowed,Other-service,Unmarried,White,Female,<=50K
Married-civ-spouse,Sales,Wife,Black,Female,<=50K
Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Never-married,Machine-op-inspct,Own-child,White,Female,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,>50K
Never-married,Adm-clerical,Other-relative,Black,Female,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,<=50K
Divorced,noValueSetHere123156456,Not-in-family,White,Female,<=50K
Never-married,Sales,Not-in-family,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Never-married,Exec-managerial,Unmarried,White,Female,<=50K
Divorced,Prof-specialty,Not-in-family,White,Male,<=50K
Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
Married-civ-spouse,Sales,Husband,Black,Male,<=50K
Never-married,Other-service,Own-child,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Never-married,Other-service,Not-in-family,White,Female,<=50K
Never-married,noValueSetHere123156456,Own-child,White,Female,<=50K
Never-married,Sales,Not-in-family,White,Female,<=50K
Never-married,Farming-fishing,Unmarried,White,Male,<=50K
Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Never-married,Adm-clerical,Own-child,White,Male,<=50K
Married-civ-spouse,Tech-support,Husband,White,Male,>50K
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
Widowed,noValueSetHere123156456,Not-in-family,White,Female,<=50K
Never-married,Tech-support,Own-child,White,Female,<=50K
Married-civ-spouse,Sales,Husband,White,Male,>50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Never-married,Craft-repair,Own-child,White,Male,<=50K
Divorced,Exec-managerial,Not-in-family,White,Female,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
Widowed,Craft-repair,Not-in-family,White,Female,<=50K
Separated,Adm-clerical,Unmarried,Black,Male,<=50K
Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
Never-married,Craft-repair,Own-child,White,Male,<=50K
Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
Divorced,Exec-managerial,Not-in-family,White,Male,>50K
Never-married,Craft-repair,Not-in-family,White,Male,<=50K
Separated,Prof-specialty,Own-child,White,Female,<=50K
Never-married,Craft-repair,Not-in-family,White,Male,<=50K
Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
Divorced,Exec-managerial,Not-in-family,White,Male,>50K
Married-civ-spouse,Protective-serv,Husband,White,Male,>50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
Never-married,Exec-managerial,Not-in-family,White,Male,<=50K
Married-civ-spouse,Sales,Husband,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
Never-married,Other-service,Unmarried,Black,Female,<=50K
Never-married,noValueSetHere123156456,Own-child,Asian-Pac-Islander,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Married-spouse-absent,Adm-clerical,Own-child,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Never-married,Sales,Own-child,White,Female,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
Never-married,Adm-clerical,Unmarried,White,Female,<=50K
Never-married,Exec-managerial,Unmarried,Black,Female,<=50K
Divorced,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Female,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,>50K
Divorced,Transport-moving,Not-in-family,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Divorced,Exec-managerial,Unmarried,White,Male,<=50K
Never-married,Craft-repair,Own-child,White,Male,<=50K
Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
Never-married,Prof-specialty,Not-in-family,White,Female,>50K
Never-married,Prof-specialty,Own-child,White,Male,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,<=50K
Never-married,Craft-repair,Not-in-family,White,Female,<=50K
Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Never-married,Exec-managerial,Unmarried,White,Female,<=50K
Married-civ-spouse,Sales,Husband,White,Male,>50K
Married-civ-spouse,Sales,Husband,White,Male,>50K
Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,<=50K
Married-civ-spouse,Exec-managerial,Wife,White,Female,>50K
Never-married,noValueSetHere123156456,Own-child,White,Female,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Never-married,Exec-managerial,Own-child,White,Female,<=50K
Never-married,Adm-clerical,Own-child,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Never-married,Craft-repair,Not-in-family,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
Married-civ-spouse,Machine-op-inspct,Wife,White,Female,>50K
Never-married,Sales,Own-child,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,>50K
Divorced,Machine-op-inspct,Not-in-family,Black,Female,<=50K
Never-married,Sales,Other-relative,White,Female,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Separated,Craft-repair,Not-in-family,Black,Male,<=50K
Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Married-civ-spouse,Prof-specialty,Wife,White,Female,>50K
Never-married,Craft-repair,Other-relative,White,Male,<=50K
Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
Never-married,Handlers-cleaners,Other-relative,White,Male,<=50K
Never-married,Sales,Not-in-family,White,Female,<=50K
Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
Never-married,Sales,Own-child,White,Male,<=50K
Never-married,Exec-managerial,Own-child,White,Female,<=50K
Divorced,Other-service,Unmarried,White,Female,<=50K
Married-civ-spouse,Exec-managerial,Wife,White,Female,>50K
Never-married,Sales,Own-child,White,Female,<=50K
Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Never-married,Adm-clerical,Own-child,White,Female,<=50K
Married-civ-spouse,Sales,Husband,White,Male,>50K
Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
Never-married,noValueSetHere123156456,Other-relative,Asian-Pac-Islander,Female,<=50K
Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Divorced,Other-service,Own-child,White,Female,<=50K
Never-married,noValueSetHere123156456,Own-child,White,Female,<=50K
Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
Divorced,Craft-repair,Not-in-family,White,Male,<=50K
Never-married,Adm-clerical,Own-child,White,Female,<=50K
Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
Widowed,Exec-managerial,Unmarried,White,Female,<=50K
Never-married,Other-service,Other-relative,White,Male,<=50K
Separated,Machine-op-inspct,Unmarried,Black,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Widowed,noValueSetHere123156456,Not-in-family,Black,Female,<=50K
Divorced,Craft-repair,Unmarried,Black,Male,<=50K
Divorced,Sales,Unmarried,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,<=50K
Never-married,Other-service,Not-in-family,White,Female,<=50K
Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
Married-civ-spouse,Adm-clerical,Wife,Black,Female,<=50K
Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
Divorced,Exec-managerial,Not-in-family,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Never-married,Tech-support,Not-in-family,White,Male,<=50K
Divorced,noValueSetHere123156456,Not-in-family,White,Female,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
Never-married,noValueSetHere123156456,Not-in-family,White,Female,>50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Never-married,Sales,Not-in-family,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Married-civ-spouse,Prof-specialty,Husband,Black,Male,>50K
Never-married,Exec-managerial,Not-in-family,White,Female,<=50K
Married-civ-spouse,Sales,Husband,White,Male,>50K
Never-married,Machine-op-inspct,Own-child,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Separated,Other-service,Not-in-family,Black,Female,<=50K
Never-married,Exec-managerial,Own-child,White,Female,<=50K
Divorced,Adm-clerical,Not-in-family,White,Male,<=50K
Divorced,Craft-repair,Not-in-family,White,Male,<=50K
Never-married,Sales,Not-in-family,White,Male,<=50K
Never-married,Craft-repair,Not-in-family,White,Female,<=50K
Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,<=50K
Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50K
Never-married,Sales,Other-relative,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
Divorced,Protective-serv,Own-child,Other,Male,<=50K
Divorced,Farming-fishing,Unmarried,White,Male,<=50K
Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
Divorced,noValueSetHere123156456,Unmarried,White,Female,<=50K
Never-married,Other-service,Own-child,White,Male,<=50K
Married-civ-spouse,Sales,Husband,Other,Male,<=50K
Widowed,Adm-clerical,Unmarried,White,Female,<=50K
Never-married,noValueSetHere123156456,Not-in-family,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Married-civ-spouse,Prof-specialty,Wife,White,Female,>50K
Married-civ-spouse,Sales,Husband,White,Male,<=50K
Never-married,Machine-op-inspct,Own-child,White,Female,<=50K
Never-married,Sales,Own-child,White,Male,<=50K
Married-civ-spouse,Transport-moving,Husband,Black,Male,>50K
Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50K
Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Never-married,Craft-repair,Not-in-family,White,Male,<=50K
Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Divorced,Exec-managerial,Unmarried,White,Female,>50K
Never-married,Prof-specialty,Not-in-family,White,Male,>50K
Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,<=50K
Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
Never-married,Exec-managerial,Unmarried,Black,Female,<=50K
Never-married,Sales,Not-in-family,White,Male,<=50K
Widowed,Adm-clerical,Unmarried,White,Female,<=50K
Married-spouse-absent,Adm-clerical,Unmarried,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,Black,Male,>50K
Never-married,Other-service,Own-child,White,Male,<=50K
Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
Separated,Other-service,Not-in-family,White,Male,<=50K
Never-married,Sales,Not-in-family,White,Male,<=50K
Married-civ-spouse,Sales,Husband,White,Male,>50K
Married-civ-spouse,Prof-specialty,Wife,White,Female,>50K
Divorced,Sales,Own-child,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Divorced,Other-service,Unmarried,Black,Female,<=50K
Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
Separated,noValueSetHere123156456,Not-in-family,White,Female,<=50K
Never-married,Handlers-cleaners,Not-in-family,Black,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
Divorced,Prof-specialty,Unmarried,White,Female,<=50K
Never-married,Transport-moving,Not-in-family,Black,Male,<=50K
Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
Never-married,Handlers-cleaners,Not-in-family,Black,Male,<=50K
Never-married,Machine-op-inspct,Own-child,White,Female,<=50K
Divorced,Other-service,Unmarried,White,Female,<=50K
Never-married,Exec-managerial,Not-in-family,White,Male,<=50K
Married-civ-spouse,Craft-repair,Other-relative,Asian-Pac-Islander,Male,<=50K
Never-married,Other-service,Own-child,White,Male,<=50K
Divorced,Exec-managerial,Other-relative,White,Female,<=50K
Never-married,Adm-clerical,Own-child,White,Male,<=50K
Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
Married-civ-spouse,Sales,Husband,White,Male,<=50K
Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
Never-married,noValueSetHere123156456,Not-in-family,White,Male,<=50K
Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,<=50K
Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Never-married,Exec-managerial,Not-in-family,White,Female,<=50K
Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,<=50K
Never-married,Other-service,Not-in-family,White,Male,<=50K
Divorced,Other-service,Unmarried,White,Female,<=50K
Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
Divorced,Exec-managerial,Not-in-family,White,Female,<=50K
Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
Divorced,Handlers-cleaners,Own-child,Asian-Pac-Islander,Female,<=50K
Never-married,Machine-op-inspct,Own-child,White,Male,>50K
Never-married,Handlers-cleaners,Own-child,White,Female,<=50K
Married-civ-spouse,Sales,Husband,White,Male,<=50K
Never-married,Prof-specialty,Not-in-family,Black,Female,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Never-married,Sales,Own-child,Asian-Pac-Islander,Female,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Married-civ-spouse,Adm-clerical,Wife,White,Female,>50K
Divorced,Adm-clerical,Other-relative,White,Female,<=50K
Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
Married-civ-spouse,Farming-fishing,Husband,White,Male,>50K
Never-married,Craft-repair,Not-in-family,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Wife,Black,Female,>50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Divorced,noValueSetHere123156456,Not-in-family,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,>50K
Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,Black,Male,<=50K
Never-married,noValueSetHere123156456,Own-child,Black,Male,<=50K
Never-married,Other-service,Own-child,White,Male,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,White,Male,>50K
Never-married,Adm-clerical,Unmarried,White,Female,<=50K
Never-married,Sales,Not-in-family,White,Female,<=50K
Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Never-married,Machine-op-inspct,Not-in-family,White,Male,<=50K
Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Never-married,Other-service,Unmarried,White,Female,<=50K
Never-married,Sales,Not-in-family,White,Male,<=50K
Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Married-civ-spouse,Sales,Husband,White,Male,>50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
Never-married,Protective-serv,Own-child,White,Male,<=50K
Divorced,Adm-clerical,Unmarried,White,Female,<=50K
Widowed,Adm-clerical,Not-in-family,White,Female,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Never-married,Handlers-cleaners,Not-in-family,White,Male,<=50K
Never-married,Adm-clerical,Unmarried,Black,Female,<=50K
Never-married,Farming-fishing,Not-in-family,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Wife,Black,Female,>50K
Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,<=50K
Married-civ-spouse,Protective-serv,Husband,White,Male,<=50K
Divorced,Other-service,Not-in-family,White,Female,<=50K
Divorced,Prof-specialty,Unmarried,White,Female,<=50K
Never-married,Other-service,Own-child,White,Male,<=50K
Divorced,Transport-moving,Unmarried,White,Male,<=50K
Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
Divorced,Sales,Unmarried,Asian-Pac-Islander,Female,<=50K
Married-civ-spouse,Sales,Husband,White,Male,>50K
Never-married,Other-service,Not-in-family,White,Male,<=50K
Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
Separated,Adm-clerical,Not-in-family,White,Female,<=50K
Married-civ-spouse,Other-service,Wife,White,Female,<=50K
Never-married,Machine-op-inspct,Not-in-family,White,Female,<=50K
Married-civ-spouse,Sales,Husband,White,Male,<=50K
Separated,Craft-repair,Own-child,White,Male,<=50K
Married-civ-spouse,noValueSetHere123156456,Wife,White,Female,>50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Never-married,Other-service,Own-child,White,Male,<=50K
Married-civ-spouse,Sales,Husband,Black,Male,>50K
Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,White,Male,>50K
Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Separated,Other-service,Unmarried,Black,Female,<=50K
Separated,Transport-moving,Unmarried,Black,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Separated,Adm-clerical,Unmarried,White,Female,<=50K
Never-married,Sales,Own-child,White,Female,<=50K
Married-civ-spouse,noValueSetHere123156456,Wife,White,Female,<=50K
Never-married,noValueSetHere123156456,Unmarried,White,Female,<=50K
Divorced,Exec-managerial,Not-in-family,White,Female,<=50K
Married-civ-spouse,Other-service,Wife,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,<=50K
Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Married-civ-spouse,noValueSetHere123156456,Husband,Black,Male,<=50K
Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
Never-married,Transport-moving,Own-child,Black,Male,<=50K
Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Divorced,Protective-serv,Other-relative,White,Male,<=50K
Never-married,Exec-managerial,Not-in-family,White,Male,<=50K
Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Never-married,Other-service,Own-child,White,Female,<=50K
Never-married,Sales,Unmarried,White,Female,<=50K
Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,>50K
Separated,Handlers-cleaners,Own-child,White,Male,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
Never-married,Craft-repair,Not-in-family,White,Male,<=50K
Married-civ-spouse,Adm-clerical,Wife,White,Female,>50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Never-married,Adm-clerical,Own-child,White,Male,<=50K
Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
Married-spouse-absent,Other-service,Unmarried,White,Female,<=50K
Married-civ-spouse,Tech-support,Husband,Black,Male,<=50K
Never-married,Prof-specialty,Own-child,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Divorced,Other-service,Not-in-family,Black,Female,<=50K
Never-married,Prof-specialty,Not-in-family,Black,Male,>50K
Never-married,Craft-repair,Own-child,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Never-married,Other-service,Other-relative,White,Male,<=50K
Widowed,Other-service,Unmarried,Black,Female,<=50K
Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Married-civ-spouse,Adm-clerical,Husband,Black,Male,>50K
Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Never-married,Handlers-cleaners,Not-in-family,Black,Male,<=50K
Never-married,Sales,Not-in-family,White,Female,<=50K
Separated,Sales,Unmarried,Black,Female,<=50K
Never-married,Sales,Own-child,Asian-Pac-Islander,Female,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
Divorced,Prof-specialty,Unmarried,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,White,Male,>50K
Never-married,noValueSetHere123156456,Not-in-family,White,Female,<=50K
Married-civ-spouse,Prof-specialty,Wife,Black,Female,>50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Never-married,Other-service,Own-child,White,Female,<=50K
Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
Never-married,Other-service,Not-in-family,White,Male,<=50K
Married-civ-spouse,Sales,Husband,White,Male,>50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
Married-civ-spouse,Craft-repair,Wife,White,Female,<=50K
Never-married,Handlers-cleaners,Own-child,Black,Male,<=50K
Divorced,Other-service,Unmarried,White,Female,<=50K
Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,<=50K
Never-married,Farming-fishing,Own-child,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Married-civ-spouse,Sales,Husband,White,Male,<=50K
Never-married,Sales,Not-in-family,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
Married-civ-spouse,Tech-support,Husband,White,Male,>50K
Never-married,Sales,Own-child,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Never-married,Prof-specialty,Not-in-family,Black,Female,<=50K
Never-married,Exec-managerial,Other-relative,White,Female,<=50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
Never-married,Transport-moving,Not-in-family,Black,Male,<=50K
Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
Married-civ-spouse,noValueSetHere123156456,Wife,White,Female,>50K
Never-married,Prof-specialty,Own-child,White,Male,<=50K
Separated,Machine-op-inspct,Unmarried,Black,Female,<=50K
Never-married,noValueSetHere123156456,Own-child,White,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Never-married,Tech-support,Own-child,Black,Male,<=50K
Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
Divorced,Tech-support,Not-in-family,White,Female,>50K
Never-married,Tech-support,Own-child,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Married-civ-spouse,Other-service,Husband,White,Male,<=50K
Married-civ-spouse,Sales,Husband,White,Male,<=50K
Never-married,Other-service,Other-relative,White,Male,<=50K
Married-spouse-absent,Craft-repair,Not-in-family,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Never-married,Craft-repair,Other-relative,Other,Male,<=50K
Never-married,Handlers-cleaners,Not-in-family,White,Male,<=50K
Never-married,Sales,Own-child,White,Female,<=50K
Divorced,Handlers-cleaners,Not-in-family,White,Male,<=50K
Married-civ-spouse,Transport-moving,Wife,White,Female,>50K
Divorced,Machine-op-inspct,Unmarried,White,Female,<=50K
Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Never-married,Other-service,Own-child,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Divorced,Craft-repair,Not-in-family,White,Male,<=50K
Married-civ-spouse,Protective-serv,Husband,White,Male,<=50K
Never-married,Adm-clerical,Own-child,White,Female,<=50K
Divorced,Craft-repair,Unmarried,White,Male,<=50K
Never-married,Handlers-cleaners,Own-child,White,Female,<=50K
Never-married,Adm-clerical,Not-in-family,White,Male,<=50K
Never-married,Other-service,Unmarried,Black,Female,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
Widowed,Other-service,Unmarried,Other,Female,<=50K
Divorced,Exec-managerial,Not-in-family,White,Female,<=50K
Widowed,Other-service,Not-in-family,White,Female,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,>50K
Never-married,Sales,Own-child,White,Male,<=50K
Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,<=50K
Never-married,Craft-repair,Other-relative,White,Male,<=50K
Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
Never-married,Prof-specialty,Own-child,White,Female,<=50K
Widowed,noValueSetHere123156456,Not-in-family,White,Female,<=50K
