Attribute1,Attribute3,Attribute14,Attribute15,Attribute19
A11,A32,A142,A152,A191
A14,A32,A143,A152,A191
A14,A34,A143,A152,A191
A14,A32,A143,A152,A192
A11,A30,A142,A152,A192
A13,A33,A143,A152,A192
A14,A34,A143,A152,A192
A12,A34,A143,A152,A191
A11,A30,A141,A152,A192
A13,A32,A143,A152,A192
A11,A32,A143,A151,A191
A14,A32,A143,A152,A192
A12,A32,A141,A152,A191
A11,A32,A141,A151,A192
A14,A32,A141,A152,A191
A14,A33,A143,A152,A192
A14,A32,A143,A152,A192
A14,A30,A143,A152,A191
A12,A32,A141,A152,A192
A11,A32,A143,A153,A192
A14,A32,A143,A152,A191
A11,A32,A141,A153,A191
A13,A32,A143,A152,A191
A14,A32,A143,A153,A191
A14,A32,A143,A152,A191
A12,A32,A143,A152,A191
A14,A34,A143,A152,A191
A11,A32,A142,A152,A191
A12,A32,A143,A152,A192
A12,A32,A141,A151,A191
A14,A34,A143,A152,A191
A11,A32,A143,A152,A191
A11,A32,A141,A152,A191
A14,A32,A143,A152,A191
A11,A30,A143,A153,A191
A14,A34,A143,A152,A191
A14,A31,A143,A152,A191
A14,A32,A143,A152,A192
A14,A34,A143,A152,A191
A14,A30,A141,A151,A191
A13,A32,A143,A152,A191
A14,A32,A143,A151,A191
A11,A34,A143,A152,A192
A13,A32,A143,A152,A191
A12,A32,A141,A152,A191
A14,A33,A143,A152,A191
A12,A32,A143,A152,A192
A12,A33,A143,A152,A191
A14,A34,A143,A152,A191
A11,A31,A143,A153,A191
A14,A32,A143,A152,A192
A14,A34,A143,A152,A191
A11,A32,A143,A152,A191
A11,A32,A143,A152,A191
A11,A34,A143,A153,A192
A14,A34,A141,A153,A191
A14,A34,A143,A152,A191
A12,A32,A143,A152,A191
A14,A34,A143,A152,A191
A14,A32,A142,A152,A192
A11,A32,A143,A152,A192
A14,A32,A143,A152,A191
A14,A32,A143,A152,A191
A14,A34,A143,A151,A192
A12,A31,A143,A153,A192
A12,A32,A143,A152,A191
A11,A32,A143,A152,A192
A14,A32,A143,A152,A191
A14,A34,A143,A152,A191
A11,A32,A143,A152,A192
A14,A32,A143,A152,A191
A14,A32,A143,A151,A192
A14,A34,A143,A151,A192
A14,A32,A143,A152,A191
A13,A31,A141,A152,A191
A14,A34,A143,A152,A191
A12,A34,A143,A152,A192
A11,A32,A143,A152,A192
A11,A32,A143,A152,A191
A12,A33,A143,A153,A192
A12,A32,A143,A152,A192
A11,A33,A142,A152,A191
A14,A32,A143,A152,A192
A12,A32,A143,A151,A192
A11,A34,A143,A153,A192
A13,A34,A143,A153,A191
A14,A34,A141,A152,A191
A12,A32,A143,A152,A192
A14,A32,A143,A151,A191
A14,A32,A143,A152,A191
A14,A32,A143,A152,A192
A12,A34,A143,A152,A192
A14,A32,A143,A152,A192
A12,A30,A143,A152,A192
A13,A34,A141,A152,A191
A11,A34,A143,A152,A192
A14,A34,A141,A153,A191
A14,A32,A143,A152,A191
A14,A32,A142,A151,A191
A11,A32,A143,A152,A192
A12,A32,A143,A152,A191
A12,A32,A143,A151,A191
A12,A32,A141,A153,A192
A14,A32,A142,A152,A191
A13,A32,A143,A152,A191
A12,A32,A141,A152,A191
A13,A32,A143,A152,A191
A11,A31,A141,A152,A191
A11,A32,A143,A152,A191
A12,A32,A143,A152,A192
A14,A34,A143,A152,A191
A11,A33,A143,A152,A191
A12,A34,A143,A152,A191
A11,A32,A143,A152,A191
A11,A32,A143,A153,A192
A11,A32,A143,A152,A191
A14,A34,A143,A152,A191
A11,A34,A143,A152,A191
A14,A34,A143,A151,A192
A14,A32,A143,A152,A192
A13,A32,A143,A152,A191
A12,A32,A143,A152,A191
A11,A34,A143,A153,A192
A14,A34,A143,A152,A191
A12,A32,A143,A152,A191
A14,A34,A141,A151,A191
A11,A30,A141,A151,A191
A11,A34,A143,A151,A192
A12,A32,A143,A152,A191
A11,A32,A143,A151,A191
A11,A32,A143,A152,A191
A12,A32,A143,A152,A191
A12,A34,A143,A153,A192
A11,A32,A143,A151,A191
A12,A32,A143,A151,A191
A12,A32,A141,A152,A192
A13,A32,A143,A152,A191
A14,A34,A143,A152,A191
A12,A34,A143,A152,A191
A12,A32,A143,A151,A191
A14,A33,A143,A152,A191
A12,A34,A143,A153,A191
A14,A32,A143,A151,A192
A12,A32,A143,A152,A191
A14,A34,A143,A152,A192
A11,A30,A143,A151,A192
A14,A32,A143,A153,A192
A12,A32,A142,A152,A191
A14,A34,A143,A152,A192
A14,A33,A143,A152,A192
A14,A32,A143,A152,A191
A11,A32,A143,A151,A191
A12,A32,A143,A153,A191
A13,A32,A143,A152,A191
A13,A33,A142,A152,A192
A14,A32,A143,A151,A191
A11,A32,A143,A152,A191
A14,A32,A143,A152,A192
A14,A34,A143,A152,A191
A11,A32,A143,A151,A191
A11,A32,A143,A152,A191
A12,A32,A143,A151,A191
A14,A32,A143,A152,A191
A14,A34,A143,A152,A192
A14,A34,A143,A151,A191
A14,A34,A141,A153,A192
A12,A31,A141,A153,A192
A11,A31,A143,A151,A191
A14,A33,A143,A152,A191
A14,A33,A143,A153,A191
A12,A32,A143,A153,A192
A14,A34,A143,A152,A191
A11,A32,A143,A152,A192
A12,A32,A143,A153,A192
A14,A32,A143,A151,A191
A13,A32,A143,A152,A191
A14,A33,A143,A152,A191
A14,A34,A143,A152,A191
A14,A32,A143,A151,A192
A12,A34,A142,A152,A192
A12,A34,A141,A152,A191
A14,A32,A143,A152,A191
A14,A32,A143,A152,A192
A12,A32,A143,A151,A191
A11,A32,A141,A153,A192
A11,A34,A143,A152,A191
A14,A34,A143,A152,A191
A12,A33,A143,A151,A192
A11,A32,A143,A153,A191
A11,A34,A143,A152,A192
A12,A32,A143,A151,A191
A14,A34,A143,A152,A191
A14,A32,A143,A152,A192
A12,A34,A141,A152,A191
A14,A33,A141,A152,A192
A14,A33,A143,A152,A191
A12,A33,A143,A152,A191
A12,A32,A143,A152,A192
A14,A34,A143,A152,A192
A11,A32,A143,A152,A191
A14,A32,A143,A152,A192
A13,A34,A143,A152,A192
A12,A32,A143,A152,A192
A14,A34,A143,A152,A192
A14,A34,A142,A152,A192
A14,A32,A143,A151,A191
A11,A32,A143,A152,A191
A14,A34,A143,A152,A192
A11,A32,A143,A152,A191
A11,A33,A143,A151,A192
A14,A32,A141,A152,A191
A12,A32,A143,A152,A191
A14,A32,A143,A151,A191
A12,A32,A143,A152,A191
A12,A34,A143,A152,A191
A14,A33,A143,A152,A191
A12,A32,A141,A152,A192
A12,A32,A143,A151,A192
A14,A34,A143,A152,A191
A14,A34,A143,A152,A191
A14,A32,A143,A152,A191
A11,A34,A143,A153,A191
A14,A32,A143,A152,A191
A12,A32,A141,A152,A192
A11,A34,A143,A153,A192
A14,A34,A143,A152,A192
A11,A32,A143,A152,A191
A12,A32,A143,A152,A192
A14,A32,A143,A151,A191
A14,A34,A143,A152,A192
A11,A34,A143,A152,A191
A13,A31,A143,A152,A191
A14,A32,A143,A152,A192
A11,A32,A143,A152,A191
A12,A33,A141,A152,A192
A14,A32,A141,A152,A191
A12,A34,A143,A152,A192
A14,A34,A143,A151,A191
A11,A32,A143,A152,A192
A12,A32,A143,A152,A191
A13,A32,A143,A152,A192
A12,A33,A142,A152,A191
A14,A34,A143,A152,A192
A14,A32,A143,A152,A191
A14,A30,A143,A152,A191
A14,A32,A143,A152,A192
A11,A32,A143,A152,A192
A14,A32,A143,A152,A192
A11,A34,A143,A151,A191
A11,A32,A143,A153,A192
A11,A32,A143,A152,A191
A14,A32,A143,A152,A192
A11,A32,A143,A152,A191
A11,A32,A143,A152,A191
A12,A32,A143,A151,A191
A12,A32,A143,A152,A191
A14,A32,A142,A152,A192
A11,A32,A141,A152,A192
A11,A33,A143,A151,A192
A14,A33,A141,A152,A191
A14,A33,A143,A152,A192
A14,A33,A143,A152,A192
A12,A32,A143,A151,A192
A11,A32,A143,A152,A191
A11,A32,A143,A152,A191
A14,A32,A143,A152,A192
A12,A34,A143,A152,A191
A11,A30,A143,A151,A191
A14,A32,A143,A152,A191
A13,A32,A141,A152,A191
A12,A32,A143,A152,A191
A11,A34,A143,A152,A192
A12,A34,A143,A152,A191
A12,A32,A143,A152,A191
A11,A32,A143,A151,A192
A14,A33,A143,A152,A191
A14,A34,A143,A152,A192
A12,A33,A143,A152,A192
A14,A32,A143,A152,A192
A14,A32,A143,A153,A192
A14,A32,A143,A151,A191
A14,A32,A143,A151,A191
A14,A34,A143,A152,A191
A12,A30,A143,A153,A192
A14,A34,A143,A152,A191
A12,A32,A143,A152,A191
A11,A34,A143,A151,A191
A11,A32,A143,A152,A191
A12,A32,A143,A151,A192
A14,A34,A143,A152,A191
A12,A32,A143,A152,A191
A13,A34,A143,A152,A192
A11,A32,A143,A152,A191
A11,A32,A143,A153,A191
A13,A32,A143,A152,A191
A12,A34,A141,A152,A191
A11,A32,A143,A151,A191
A14,A32,A143,A152,A191
A13,A34,A143,A152,A192
A12,A31,A143,A152,A192
A14,A32,A143,A152,A191
A14,A32,A143,A152,A192
A11,A32,A143,A152,A191
A14,A32,A143,A153,A192
A13,A32,A143,A151,A192
A12,A33,A143,A151,A191
A14,A32,A143,A152,A191
A11,A34,A143,A152,A191
A11,A34,A143,A152,A191
A14,A34,A143,A151,A192
A11,A32,A143,A152,A192
A14,A34,A143,A153,A191
A14,A34,A143,A153,A191
A11,A32,A143,A152,A191
A11,A30,A143,A153,A191
A14,A32,A143,A152,A191
A12,A32,A143,A152,A191
A12,A32,A143,A152,A191
A14,A34,A143,A152,A191
A14,A34,A143,A152,A191
A11,A32,A143,A151,A191
A11,A32,A143,A152,A192
A12,A32,A143,A152,A191
A12,A32,A143,A151,A192
A14,A33,A143,A151,A191
A14,A32,A143,A152,A192
A14,A32,A143,A152,A191
A13,A34,A143,A151,A191
A11,A32,A143,A152,A192
A12,A34,A143,A152,A192
A11,A32,A141,A153,A191
A13,A32,A142,A152,A191
A12,A32,A143,A151,A191
A14,A33,A143,A153,A192
A11,A32,A143,A152,A191
A13,A32,A143,A152,A191
A14,A34,A143,A152,A191
A11,A33,A143,A153,A191
A14,A34,A143,A152,A192
A14,A32,A141,A152,A191
A11,A31,A141,A152,A191
A14,A34,A143,A153,A192
A14,A34,A143,A152,A191
A14,A31,A141,A152,A191
A11,A32,A143,A152,A192
A12,A34,A143,A152,A191
A12,A32,A143,A152,A192
A12,A32,A142,A152,A191
A12,A30,A143,A152,A191
A14,A30,A141,A152,A192
A11,A31,A141,A152,A191
A12,A34,A143,A152,A191
A11,A32,A141,A153,A192
A11,A31,A141,A151,A191
A13,A33,A141,A152,A191
A12,A32,A143,A153,A192
A12,A33,A141,A152,A192
A12,A33,A143,A151,A192
A11,A32,A143,A152,A191
A14,A34,A143,A152,A191
A12,A32,A143,A152,A192
A11,A32,A143,A152,A192
A11,A32,A143,A151,A192
A14,A34,A143,A152,A191
A14,A32,A143,A151,A192
A11,A32,A143,A152,A191
A12,A32,A143,A152,A191
A14,A34,A141,A152,A191
A12,A32,A143,A152,A191
A14,A34,A143,A152,A192
A12,A34,A143,A152,A191
A14,A32,A143,A152,A191
A12,A34,A141,A152,A191
A12,A34,A141,A152,A191
A14,A32,A143,A151,A191
A12,A32,A143,A151,A191
A14,A32,A143,A153,A192
A11,A32,A141,A151,A191
A11,A34,A143,A151,A191
A11,A32,A143,A152,A191
A11,A32,A143,A152,A192
A11,A34,A143,A152,A191
A11,A34,A143,A152,A192
A12,A33,A143,A151,A192
A14,A32,A141,A152,A191
A12,A32,A143,A151,A192
A11,A31,A142,A152,A192
A12,A31,A142,A152,A191
A11,A32,A143,A151,A191
A12,A30,A143,A152,A192
A14,A34,A141,A152,A191
A14,A33,A143,A153,A191
A12,A32,A143,A152,A191
A12,A32,A143,A152,A191
A12,A31,A141,A153,A191
A14,A32,A143,A152,A192
A13,A32,A143,A152,A191
A11,A31,A142,A152,A192
A14,A34,A143,A152,A192
A12,A32,A143,A153,A191
A14,A32,A143,A152,A191
A14,A32,A141,A153,A191
A11,A32,A143,A152,A191
A13,A32,A143,A153,A191
A11,A32,A141,A152,A191
A11,A31,A141,A151,A191
A14,A33,A143,A152,A191
A12,A30,A141,A152,A192
A12,A33,A143,A153,A191
A11,A34,A143,A151,A191
A12,A32,A143,A151,A191
A14,A32,A143,A152,A191
A12,A34,A143,A152,A191
A14,A34,A141,A152,A191
A14,A32,A141,A152,A191
A11,A32,A143,A151,A191
A11,A32,A143,A153,A191
A14,A32,A143,A152,A191
A13,A32,A143,A152,A192
A12,A31,A143,A152,A191
A14,A34,A143,A152,A192
A14,A32,A143,A152,A191
A11,A32,A143,A152,A191
A11,A31,A141,A152,A191
A12,A32,A143,A152,A191
A14,A32,A143,A151,A191
A12,A32,A143,A152,A192
A14,A32,A141,A152,A192
A14,A32,A143,A152,A191
A14,A33,A143,A152,A192
A14,A32,A143,A152,A191
A11,A33,A141,A152,A192
A11,A32,A143,A152,A191
A12,A32,A143,A152,A191
A14,A32,A143,A152,A192
A14,A34,A143,A152,A192
A11,A34,A143,A152,A192
A14,A33,A143,A151,A192
A11,A30,A143,A152,A191
A14,A32,A143,A152,A191
A13,A32,A141,A153,A191
A11,A32,A143,A151,A191
A11,A32,A143,A153,A192
A12,A32,A143,A152,A191
A11,A32,A143,A152,A191
A12,A33,A143,A152,A192
A14,A34,A143,A152,A192
A11,A32,A143,A153,A191
A12,A32,A141,A152,A191
A14,A32,A142,A152,A192
A12,A30,A143,A152,A191
A12,A34,A143,A152,A192
A13,A32,A143,A151,A191
A11,A32,A143,A152,A191
A14,A32,A143,A152,A191
A12,A33,A142,A152,A192
A13,A34,A143,A152,A191
A14,A34,A141,A152,A192
A12,A31,A142,A152,A192
A14,A31,A142,A152,A191
A11,A34,A143,A151,A192
A13,A34,A143,A152,A191
A14,A34,A143,A152,A192
A14,A32,A143,A152,A192
A14,A32,A143,A152,A192
A14,A34,A143,A152,A191
A14,A33,A141,A152,A191
A14,A34,A143,A151,A192
A14,A34,A143,A152,A192
A12,A32,A143,A152,A191
A11,A32,A141,A151,A191
A14,A32,A143,A152,A191
A14,A32,A143,A152,A191
A14,A32,A143,A153,A192
A14,A33,A141,A152,A191
A14,A34,A143,A153,A192
A12,A33,A143,A152,A192
A14,A32,A143,A153,A192
A13,A34,A143,A152,A192
A12,A33,A143,A153,A191
A14,A32,A143,A152,A192
A11,A32,A143,A152,A191
A11,A34,A143,A152,A191
A12,A32,A143,A152,A191
A12,A32,A143,A152,A191
A11,A34,A143,A152,A191
A14,A32,A143,A152,A192
A14,A32,A143,A151,A191
A12,A32,A143,A152,A191
A14,A34,A143,A152,A191
A14,A34,A143,A152,A191
A13,A32,A143,A151,A192
A14,A32,A143,A151,A191
A11,A34,A143,A153,A192
A13,A32,A143,A153,A192
A12,A33,A142,A152,A191
A12,A32,A143,A152,A192
A14,A32,A143,A153,A191
A12,A32,A143,A152,A191
A12,A30,A143,A151,A191
A12,A32,A143,A152,A191
A12,A32,A143,A152,A191
A14,A34,A141,A152,A192
A11,A31,A143,A153,A191
A14,A32,A143,A152,A192
A11,A34,A143,A152,A191
A12,A32,A143,A152,A192
A14,A34,A143,A152,A191
A14,A34,A143,A152,A192
A14,A32,A143,A153,A192
A13,A34,A143,A152,A192
A12,A30,A141,A152,A192
A13,A30,A143,A152,A192
A12,A31,A141,A151,A191
A11,A32,A143,A152,A191
A12,A32,A143,A152,A191
A14,A32,A143,A151,A191
A14,A34,A141,A152,A191
A14,A34,A143,A152,A191
A11,A32,A141,A151,A191
A12,A31,A143,A151,A191
A13,A34,A143,A152,A192
A12,A33,A143,A152,A191
A11,A32,A143,A151,A191
A12,A32,A143,A152,A191
A14,A32,A143,A151,A192
A14,A34,A143,A152,A191
A12,A31,A141,A152,A191
A12,A32,A143,A151,A191
A11,A32,A143,A152,A192
A14,A34,A143,A152,A192
A12,A30,A143,A151,A191
A11,A31,A141,A152,A191
A12,A31,A142,A152,A191
A14,A32,A143,A152,A192
A11,A31,A142,A152,A192
A11,A34,A143,A152,A192
A11,A34,A141,A152,A191
A11,A32,A143,A151,A191
A11,A32,A143,A152,A191
A14,A32,A143,A152,A191
A14,A32,A143,A152,A191
A11,A32,A141,A152,A192
A11,A32,A143,A152,A191
A12,A32,A143,A151,A191
A14,A34,A143,A152,A191
A14,A33,A143,A153,A191
A11,A32,A143,A151,A191
A13,A34,A143,A152,A191
A13,A34,A143,A153,A192
A14,A32,A143,A152,A192
A11,A34,A143,A152,A191
A14,A34,A143,A152,A192
A11,A34,A143,A151,A191
A11,A32,A143,A152,A191
A14,A34,A143,A153,A192
A14,A34,A143,A152,A192
A12,A32,A141,A152,A191
A11,A32,A143,A152,A191
A14,A32,A143,A151,A191
A12,A34,A143,A151,A192
A14,A34,A143,A152,A192
A11,A32,A143,A151,A191
A11,A34,A143,A152,A192
A14,A34,A143,A152,A192
A14,A34,A141,A152,A191
A13,A34,A141,A153,A191
A11,A32,A143,A151,A191
A14,A34,A143,A152,A192
A11,A32,A143,A152,A191
A14,A34,A143,A152,A192
A12,A32,A143,A152,A192
A12,A34,A143,A152,A191
A14,A34,A143,A152,A192
A12,A30,A143,A152,A192
A12,A32,A141,A152,A191
A12,A32,A143,A152,A192
A12,A32,A143,A152,A192
A14,A32,A143,A152,A191
A14,A34,A143,A152,A192
A12,A33,A143,A153,A191
A11,A34,A141,A152,A192
A12,A32,A143,A152,A191
A14,A32,A143,A152,A192
A14,A34,A143,A152,A191
A13,A32,A143,A153,A191
A14,A32,A143,A151,A192
A14,A32,A143,A151,A191
A11,A32,A143,A153,A192
A14,A34,A143,A151,A191
A14,A33,A143,A152,A192
A12,A32,A143,A152,A191
A14,A34,A143,A153,A191
A12,A34,A141,A151,A192
A11,A34,A143,A152,A191
A14,A34,A143,A152,A191
A12,A32,A143,A151,A191
A11,A32,A143,A152,A192
A12,A32,A143,A152,A191
A14,A34,A143,A152,A191
A12,A31,A141,A153,A192
A12,A30,A143,A151,A191
A12,A32,A143,A152,A192
A12,A32,A141,A152,A191
A11,A34,A143,A152,A192
A11,A32,A143,A152,A191
A11,A32,A143,A153,A191
A12,A33,A143,A151,A191
A14,A32,A143,A152,A191
A14,A34,A143,A151,A192
A11,A32,A143,A152,A191
A11,A32,A141,A152,A191
A14,A32,A143,A152,A192
A13,A32,A143,A152,A191
A11,A32,A141,A152,A191
A11,A34,A143,A152,A191
A14,A34,A143,A152,A192
A11,A34,A143,A152,A192
A11,A34,A141,A151,A192
A14,A30,A142,A152,A191
A11,A32,A143,A153,A191
A12,A33,A143,A153,A192
A14,A33,A143,A152,A192
A11,A32,A143,A151,A192
A11,A30,A143,A151,A191
A12,A32,A143,A152,A192
A13,A32,A143,A152,A191
A11,A30,A141,A152,A191
A14,A32,A143,A152,A191
A14,A32,A143,A151,A191
A11,A34,A143,A152,A192
A14,A34,A143,A152,A191
A11,A32,A143,A152,A191
A14,A33,A142,A152,A191
A14,A32,A143,A152,A191
A14,A31,A141,A152,A192
A14,A32,A141,A152,A192
A12,A32,A143,A152,A192
A14,A32,A143,A151,A191
A14,A32,A143,A152,A191
A11,A32,A143,A152,A191
A11,A32,A142,A152,A191
A11,A34,A141,A151,A191
A14,A34,A143,A152,A192
A14,A34,A143,A153,A192
A11,A31,A143,A153,A191
A14,A33,A143,A152,A192
A14,A32,A143,A152,A192
A14,A32,A143,A152,A192
A14,A34,A143,A153,A192
A11,A32,A143,A152,A192
A14,A32,A143,A151,A191
A14,A34,A143,A152,A191
A14,A33,A143,A152,A192
A11,A32,A143,A152,A192
A14,A34,A142,A152,A192
A14,A32,A141,A151,A191
A14,A32,A143,A151,A191
A11,A32,A142,A152,A191
A14,A34,A142,A152,A191
A14,A32,A143,A152,A191
A11,A32,A143,A151,A191
A14,A33,A143,A152,A192
A13,A34,A143,A152,A191
A11,A34,A143,A152,A192
A14,A32,A143,A152,A191
A11,A32,A143,A152,A191
A12,A34,A143,A152,A191
A11,A31,A141,A153,A192
A14,A32,A143,A152,A191
A11,A32,A143,A153,A192
A14,A34,A143,A152,A191
A14,A32,A143,A152,A192
A14,A32,A143,A153,A192
A12,A34,A143,A152,A191
A14,A34,A143,A152,A191
A12,A32,A143,A152,A192
A11,A32,A143,A152,A191
A12,A34,A143,A152,A192
A12,A32,A143,A152,A192
A14,A34,A143,A152,A192
A14,A31,A141,A151,A192
A11,A34,A142,A152,A192
A14,A34,A143,A152,A192
A11,A34,A141,A152,A191
A12,A34,A143,A152,A192
A14,A34,A143,A152,A192
A14,A33,A142,A152,A192
A11,A32,A143,A151,A192
A14,A34,A143,A152,A191
A14,A32,A141,A151,A191
A11,A32,A143,A152,A191
A11,A34,A141,A151,A192
A14,A34,A143,A152,A192
A14,A34,A143,A153,A191
A14,A32,A143,A151,A192
A14,A32,A143,A152,A192
A11,A32,A143,A151,A192
A11,A32,A143,A152,A191
A12,A32,A143,A152,A191
A14,A33,A143,A152,A191
A12,A32,A143,A152,A191
A14,A33,A143,A152,A191
A12,A34,A141,A152,A191
A12,A32,A143,A152,A191
A14,A32,A143,A152,A192
A11,A31,A143,A151,A192
A12,A30,A141,A152,A192
A14,A32,A143,A152,A191
A11,A32,A141,A152,A192
A11,A32,A143,A152,A191
A11,A32,A143,A151,A192
A14,A34,A143,A152,A191
A14,A33,A143,A152,A192
A11,A32,A143,A151,A191
A12,A32,A143,A151,A192
A11,A31,A141,A152,A192
A11,A31,A141,A152,A192
A11,A34,A143,A151,A191
A11,A32,A142,A153,A192
A14,A32,A143,A152,A192
