lai_0,meldug_2,nedboer_3,mikro_3
5_5___6_5,1___2__,2___3,T_rt_og_koldt
4_5___5_5,0_00___0_01__,0___1,T_rt_og_koldt
5_5___6_5,0_00___0_01__,2___3,V_dt_og_varmt
5_5___6_5,0_00___0_01__,0___1,T_rt_og_koldt
5_5___6_5,2___6__,____4,V_dt_og_varmt
5_5___6_5,0_5___1__,____4,V_dt_og_varmt
5_5___6_5,0_00___0_01__,____4,V_dt_og_koldt
5_5___6_5,0_00___0_01__,____4,V_dt_og_varmt
2_5___3_5,25___50__,____4,V_dt_og_varmt
___6_5,25___50__,0___1,T_rt_og_koldt
4_5___5_5,2___6__,0___1,V_dt_og_koldt
5_5___6_5,0_00___0_01__,2___3,V_dt_og_varmt
___6_5,0_00___0_01__,____4,V_dt_og_koldt
5_5___6_5,0_00___0_01__,0___1,V_dt_og_varmt
5_5___6_5,50___100__,____4,V_dt_og_koldt
3_5___4_5,0_00___0_01__,____4,V_dt_og_koldt
4_5___5_5,0_00___0_01__,2___3,V_dt_og_koldt
2_5___3_5,0_5___1__,2___3,T_rt_og_varmt
5_5___6_5,6___10__,____4,V_dt_og_koldt
5_5___6_5,50___100__,____4,V_dt_og_koldt
___6_5,0_00___0_01__,2___3,T_rt_og_varmt
5_5___6_5,0_5___1__,____4,V_dt_og_varmt
2_5___3_5,0_00___0_01__,0___1,T_rt_og_varmt
5_5___6_5,0_00___0_01__,____4,V_dt_og_varmt
5_5___6_5,0_00___0_01__,____4,V_dt_og_varmt
2_5___3_5,1___2__,2___3,T_rt_og_varmt
4_5___5_5,0_00___0_01__,____4,V_dt_og_varmt
5_5___6_5,0_00___0_01__,2___3,V_dt_og_koldt
3_5___4_5,0_5___1__,0___1,T_rt_og_koldt
___6_5,2___6__,2___3,T_rt_og_varmt
4_5___5_5,0_00___0_01__,____4,V_dt_og_varmt
4_5___5_5,0_00___0_01__,2___3,V_dt_og_varmt
2_5___3_5,0_5___1__,2___3,V_dt_og_varmt
5_5___6_5,25___50__,0___1,T_rt_og_varmt
5_5___6_5,10___25__,2___3,V_dt_og_koldt
5_5___6_5,1___2__,2___3,T_rt_og_koldt
5_5___6_5,2___6__,2___3,T_rt_og_varmt
5_5___6_5,0_00___0_01__,____4,V_dt_og_koldt
___6_5,0_00___0_01__,2___3,V_dt_og_varmt
5_5___6_5,0_00___0_01__,2___3,T_rt_og_varmt
3_5___4_5,0_00___0_01__,____4,V_dt_og_koldt
5_5___6_5,0_5___1__,____4,V_dt_og_varmt
3_5___4_5,1___2__,2___3,T_rt_og_koldt
5_5___6_5,0_00___0_01__,0___1,T_rt_og_koldt
3_5___4_5,0_00___0_01__,2___3,V_dt_og_koldt
5_5___6_5,0_5___1__,____4,V_dt_og_varmt
2_5___3_5,0_00___0_01__,____4,V_dt_og_koldt
4_5___5_5,10___25__,2___3,V_dt_og_varmt
4_5___5_5,0_00___0_01__,0___1,T_rt_og_koldt
5_5___6_5,1___2__,2___3,V_dt_og_varmt
5_5___6_5,10___25__,____4,V_dt_og_varmt
4_5___5_5,2___6__,0___1,T_rt_og_varmt
5_5___6_5,0_00___0_01__,2___3,T_rt_og_varmt
5_5___6_5,0_00___0_01__,2___3,V_dt_og_varmt
5_5___6_5,0_00___0_01__,0___1,T_rt_og_varmt
5_5___6_5,25___50__,____4,V_dt_og_varmt
___6_5,1___2__,____4,V_dt_og_koldt
4_5___5_5,6___10__,2___3,T_rt_og_varmt
___6_5,0_01___0_5__,____4,V_dt_og_varmt
5_5___6_5,0_00___0_01__,____4,V_dt_og_koldt
4_5___5_5,6___10__,____4,V_dt_og_varmt
5_5___6_5,50___100__,____4,V_dt_og_varmt
4_5___5_5,0_00___0_01__,____4,V_dt_og_koldt
5_5___6_5,0_00___0_01__,____4,V_dt_og_koldt
5_5___6_5,0_00___0_01__,0___1,T_rt_og_varmt
5_5___6_5,0_00___0_01__,____4,V_dt_og_varmt
2_5___3_5,0_00___0_01__,0___1,T_rt_og_varmt
2_5___3_5,0_00___0_01__,____4,V_dt_og_varmt
4_5___5_5,0_01___0_5__,0___1,T_rt_og_varmt
3_5___4_5,0_5___1__,0___1,T_rt_og_koldt
5_5___6_5,0_01___0_5__,2___3,V_dt_og_koldt
3_5___4_5,1___2__,____4,V_dt_og_varmt
2_5___3_5,1___2__,____4,V_dt_og_varmt
5_5___6_5,2___6__,____4,V_dt_og_varmt
5_5___6_5,0_00___0_01__,2___3,T_rt_og_varmt
2_5___3_5,0_01___0_5__,____4,V_dt_og_koldt
5_5___6_5,0_00___0_01__,2___3,T_rt_og_koldt
5_5___6_5,0_01___0_5__,2___3,V_dt_og_varmt
5_5___6_5,0_00___0_01__,____4,V_dt_og_koldt
3_5___4_5,0_00___0_01__,____4,V_dt_og_koldt
3_5___4_5,0_00___0_01__,2___3,V_dt_og_varmt
4_5___5_5,0_00___0_01__,2___3,V_dt_og_varmt
5_5___6_5,0_00___0_01__,0___1,T_rt_og_varmt
3_5___4_5,1___2__,____4,V_dt_og_varmt
4_5___5_5,2___6__,2___3,T_rt_og_varmt
3_5___4_5,1___2__,____4,V_dt_og_varmt
5_5___6_5,0_00___0_01__,2___3,T_rt_og_varmt
5_5___6_5,0_01___0_5__,2___3,T_rt_og_koldt
3_5___4_5,0_00___0_01__,2___3,V_dt_og_koldt
5_5___6_5,1___2__,____4,V_dt_og_varmt
3_5___4_5,0_00___0_01__,2___3,V_dt_og_varmt
4_5___5_5,25___50__,____4,V_dt_og_varmt
5_5___6_5,0_01___0_5__,2___3,T_rt_og_varmt
5_5___6_5,50___100__,____4,V_dt_og_varmt
2_5___3_5,0_00___0_01__,____4,V_dt_og_varmt
3_5___4_5,6___10__,____4,V_dt_og_koldt
4_5___5_5,0_00___0_01__,____4,V_dt_og_varmt
2_5___3_5,0_00___0_01__,2___3,T_rt_og_koldt
5_5___6_5,0_5___1__,2___3,V_dt_og_koldt
5_5___6_5,0_00___0_01__,0___1,T_rt_og_varmt
5_5___6_5,2___6__,2___3,V_dt_og_koldt
5_5___6_5,0_01___0_5__,2___3,T_rt_og_varmt
5_5___6_5,0_00___0_01__,0___1,T_rt_og_varmt
5_5___6_5,0_00___0_01__,0___1,T_rt_og_varmt
2_5___3_5,0_00___0_01__,2___3,V_dt_og_koldt
2_5___3_5,0_00___0_01__,0___1,T_rt_og_varmt
5_5___6_5,0_00___0_01__,2___3,V_dt_og_varmt
5_5___6_5,0_01___0_5__,____4,V_dt_og_koldt
5_5___6_5,0_00___0_01__,2___3,T_rt_og_varmt
4_5___5_5,6___10__,2___3,T_rt_og_varmt
5_5___6_5,0_01___0_5__,2___3,V_dt_og_koldt
