G,K,M
AZ,Acute Care Hospitals,Yes
AZ,Critical Access Hospitals,Yes
AZ,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,No
AR,Critical Access Hospitals,Yes
AK,Critical Access Hospitals,No
AR,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,No
AR,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AL,Acute Care Hospitals,No
AR,Critical Access Hospitals,No
AZ,Critical Access Hospitals,No
AL,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,Yes
AZ,Critical Access Hospitals,No
AL,Acute Care Hospitals,No
AZ,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AR,Acute Care Hospitals,No
AL,Acute Care Hospitals,No
AK,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AR,Acute Care - VA Medical Center,No
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AL,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AR,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AR,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,No
AR,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AR,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,Yes
AK,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,No
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AR,Critical Access Hospitals,Yes
AK,Critical Access Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AK,Acute Care Hospitals,No
AZ,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,No
AR,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AZ,Critical Access Hospitals,Yes
AR,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Acute Care - VA Medical Center,No
AL,Acute Care Hospitals,No
AR,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
AZ,Critical Access Hospitals,No
AL,Acute Care Hospitals,No
AR,Acute Care Hospitals,No
AR,Acute Care Hospitals,No
AL,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,No
AZ,Acute Care - VA Medical Center,No
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AZ,Acute Care - VA Medical Center,No
AZ,Critical Access Hospitals,No
AL,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AR,Critical Access Hospitals,Yes
AZ,Acute Care Hospitals,No
AZ,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,No
AZ,Critical Access Hospitals,No
AR,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AK,Critical Access Hospitals,No
AR,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,No
AZ,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,No
AZ,Acute Care Hospitals,No
AZ,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,No
AK,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,Yes
AL,Critical Access Hospitals,No
AL,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AZ,Critical Access Hospitals,No
CA,Acute Care Hospitals,Yes
AL,Critical Access Hospitals,No
AZ,Acute Care Hospitals,No
AR,Critical Access Hospitals,Yes
AK,Critical Access Hospitals,Yes
AR,Acute Care Hospitals,Yes
AL,Critical Access Hospitals,Yes
AK,Critical Access Hospitals,No
AL,Acute Care Hospitals,No
AR,Critical Access Hospitals,Yes
AK,Critical Access Hospitals,Yes
AR,Critical Access Hospitals,Yes
AZ,Acute Care Hospitals,No
AZ,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,No
AK,Critical Access Hospitals,Yes
AZ,Critical Access Hospitals,No
AK,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,No
AR,Critical Access Hospitals,Yes
AZ,Critical Access Hospitals,No
CA,Acute Care Hospitals,Yes
AL,Critical Access Hospitals,No
AZ,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AL,Critical Access Hospitals,No
AZ,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AZ,Critical Access Hospitals,No
AZ,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AZ,Critical Access Hospitals,Yes
AR,Critical Access Hospitals,Yes
AR,Critical Access Hospitals,Yes
AK,Critical Access Hospitals,No
AZ,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AL,Acute Care Hospitals,No
AL,Acute Care Hospitals,No
AK,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,No
AR,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AR,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AL,Critical Access Hospitals,Yes
AK,Critical Access Hospitals,No
AR,Critical Access Hospitals,No
AZ,Critical Access Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AK,Acute Care Hospitals,No
AZ,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,No
AZ,Acute Care - VA Medical Center,No
AR,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AR,Critical Access Hospitals,Yes
AR,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AZ,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,No
CA,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,No
AR,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AR,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,No
AL,Acute Care Hospitals,No
AZ,Acute Care Hospitals,No
AZ,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,No
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,No
AL,Acute Care Hospitals,No
AZ,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,No
AK,Critical Access Hospitals,No
AZ,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AR,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AL,Critical Access Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AR,Critical Access Hospitals,Yes
AR,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AR,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,No
CA,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,No
CA,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AZ,Critical Access Hospitals,No
AL,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AZ,Critical Access Hospitals,Yes
AR,Critical Access Hospitals,Yes
AR,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,No
AZ,Critical Access Hospitals,Yes
AR,Critical Access Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,No
AL,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,No
AL,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,No
AL,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,Yes
AK,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AZ,Critical Access Hospitals,No
AL,Acute Care Hospitals,No
AR,Critical Access Hospitals,Yes
AR,Critical Access Hospitals,Yes
AZ,Acute Care Hospitals,No
AR,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AZ,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AR,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,No
AR,Critical Access Hospitals,No
AL,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,Yes
AR,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AZ,Critical Access Hospitals,No
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AK,Critical Access Hospitals,Yes
AZ,Critical Access Hospitals,Yes
AR,Critical Access Hospitals,No
AZ,Critical Access Hospitals,No
AZ,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,No
AZ,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AZ,Critical Access Hospitals,No
AZ,Acute Care Hospitals,No
AL,Critical Access Hospitals,No
AR,Critical Access Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,No
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,No
AR,Critical Access Hospitals,Yes
AL,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AZ,Critical Access Hospitals,Yes
AK,Critical Access Hospitals,No
CA,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,Yes
AR,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,No
AR,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AL,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,No
AK,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,Yes
CA,Acute Care - VA Medical Center,No
AL,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AK,Critical Access Hospitals,Yes
AK,Acute Care Hospitals,No
AL,Acute Care Hospitals,No
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,No
AZ,Critical Access Hospitals,Yes
AR,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AZ,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,No
AR,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,No
CA,Acute Care Hospitals,No
AL,Critical Access Hospitals,No
CA,Acute Care Hospitals,No
AR,Critical Access Hospitals,Yes
AR,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,No
AR,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
AZ,Critical Access Hospitals,No
AR,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,No
AZ,Critical Access Hospitals,No
CA,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
AK,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AL,Critical Access Hospitals,No
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,No
AZ,Critical Access Hospitals,Yes
AZ,Critical Access Hospitals,Yes
AR,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
AL,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,No
AR,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,No
AL,Acute Care Hospitals,No
AK,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,No
AR,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AR,Critical Access Hospitals,No
AL,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AR,Critical Access Hospitals,No
AR,Acute Care Hospitals,Yes
AL,Critical Access Hospitals,No
AR,Acute Care Hospitals,No
AR,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,Yes
AZ,Critical Access Hospitals,No
AL,Critical Access Hospitals,No
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,No
AK,Critical Access Hospitals,No
AL,Acute Care Hospitals,No
AK,Acute Care Hospitals,No
AR,Critical Access Hospitals,Yes
AL,Critical Access Hospitals,No
AK,Critical Access Hospitals,Yes
AR,Critical Access Hospitals,No
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AK,Critical Access Hospitals,No
AR,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,No
AK,Critical Access Hospitals,Yes
AZ,Critical Access Hospitals,Yes
AZ,Acute Care - VA Medical Center,No
CA,Acute Care Hospitals,No
AR,Critical Access Hospitals,Yes
AR,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AR,Acute Care Hospitals,Yes
AL,Critical Access Hospitals,No
AZ,Critical Access Hospitals,Yes
AR,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,No
AZ,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AZ,Acute Care Hospitals,No
AR,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AL,Acute Care Hospitals,No
AZ,Critical Access Hospitals,No
AZ,Critical Access Hospitals,No
CA,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AZ,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
AZ,Acute Care Hospitals,Yes
AZ,Critical Access Hospitals,No
CA,Acute Care Hospitals,Yes
AL,Critical Access Hospitals,No
AZ,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AZ,Critical Access Hospitals,No
CA,Acute Care Hospitals,No
AR,Critical Access Hospitals,Yes
AR,Acute Care Hospitals,No
AZ,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AZ,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,No
AZ,Critical Access Hospitals,No
CA,Acute Care Hospitals,Yes
AR,Acute Care Hospitals,Yes
AZ,Critical Access Hospitals,No
AK,Critical Access Hospitals,No
AL,Critical Access Hospitals,Yes
AR,Critical Access Hospitals,No
AL,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AZ,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,No
AR,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,No
AR,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AR,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,No
AZ,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AK,Critical Access Hospitals,No
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,No
AR,Acute Care Hospitals,No
AL,Acute Care Hospitals,No
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,No
AR,Acute Care Hospitals,No
AL,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,No
CA,Acute Care - VA Medical Center,No
AR,Acute Care Hospitals,Yes
AZ,Acute Care Hospitals,No
AZ,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AZ,Critical Access Hospitals,Yes
AR,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AR,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
CA,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,No
AL,Acute Care Hospitals,No
AZ,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,Yes
CA,Acute Care Hospitals,Yes
AK,Critical Access Hospitals,Yes
AR,Acute Care Hospitals,Yes
AL,Acute Care Hospitals,Yes
AR,Critical Access Hospitals,Yes
AL,Acute Care Hospitals,No
CA,Acute Care Hospitals,Yes
